white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,11,0,8,8,0,2,2,0,2,2,0,2,2,0,1,1,0,0,78,1,1,7,6,0,6,7,5,5,37,39,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r2q1rk1/pb2npbp/1pn1p1p1/2pp4/1PP5/P1NP1NP1/3BPPBP/1R1Q1RK1 b - - 0 11,cxb4
1,12,0,7,8,-1,2,2,0,2,2,0,2,2,0,1,1,0,-1,77,1,1,7,6,0,6,7,5,5,40,38,0,0,0,1,0,0,1,3,3,0,0,0,0,2,2,4,4,0,0,1,r2q1rk1/pb2npbp/1pn1p1p1/3p4/1pP5/P1NP1NP1/3BPPBP/1R1Q1RK1 w - - 0 12,axb4
0,12,0,7,7,0,2,2,0,2,2,0,2,2,0,1,1,0,0,76,1,1,7,6,0,6,7,5,5,36,38,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,4,4,0,0,1,r2q1rk1/pb2npbp/1pn1p1p1/3p4/1PP5/2NP1NP1/3BPPBP/1R1Q1RK1 b - - 0 12,dxc4
1,13,0,6,7,-1,2,2,0,2,2,0,2,2,0,1,1,0,-1,75,1,1,7,6,0,6,7,5,5,37,39,0,0,0,1,0,0,0,3,3,0,0,0,0,2,2,4,3,0,0,1,r2q1rk1/pb2npbp/1pn1p1p1/8/1Pp5/2NP1NP1/3BPPBP/1R1Q1RK1 w - - 0 13,dxc4
0,8,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,28,40,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,3,3,0,0,1,rn1qk1nr/pp2ppb1/2p3p1/3pP2p/3P1P2/2N2Q1P/PPP3P1/R1B1KB1R b KQkq - 0 8,e6
1,9,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,39,33,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,3,3,0,0,0,rn1qk1nr/pp3pb1/2p1p1p1/3pP2p/3P1P2/2N2Q1P/PPP3P1/R1B1KB1R w KQkq - 0 9,g3
0,9,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,33,39,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,3,3,0,0,1,rn1qk1nr/pp3pb1/2p1p1p1/3pP2p/3P1P2/2N2QPP/PPP5/R1B1KB1R b KQkq - 0 9,Qb6
1,10,1,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,39,32,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,3,4,0,0,0,rn2k1nr/pp3pb1/1qp1p1p1/3pP2p/3P1P2/2N2QPP/PPP5/R1B1KB1R w KQkq - 1 10,Qf2
0,10,2,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,32,35,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,4,4,0,0,1,rn2k1nr/pp3pb1/1qp1p1p1/3pP2p/3P1P2/2N3PP/PPP2Q2/R1B1KB1R b KQkq - 2 10,Ne7
1,11,3,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,35,34,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,4,4,0,0,1,rn2k2r/pp2npb1/1qp1p1p1/3pP2p/3P1P2/2N3PP/PPP2Q2/R1B1KB1R w KQkq - 3 11,Bd3
