gene,chRCC_mean,onco_mean,norm_mean,diff_ch_oc,p_mwu
SMPDL3A,0.6907590326340326,0.8946182983682983,0.8453118126030928,-0.20385926573426572,2.7983495853192974e-05
NAA10,0.7876617132867133,0.7329341491841492,0.7740103892934402,0.054727564102564075,2.7983495853192974e-05
GRB14,0.9453933566433566,0.9822494172494172,0.8930061194715224,-0.036856060606060614,2.7983495853192974e-05
RPS18,0.997488344988345,0.9991229603729602,0.9911199692581383,-0.001634615384615179,2.9609259071686078e-05
RABEP1,0.7730390442890442,0.8984848484848484,0.7971946980992923,-0.1254458041958042,3.059261354907226e-05
ATP5H,0.984152097902098,0.9922261072261073,0.994446769589106,-0.008074009324009257,3.336514443908187e-05
TRMT11,0.5392307692307692,0.7182211538461537,0.7083023363600651,-0.17899038461538452,3.349997534124988e-05
SRP68,0.8725029137529137,0.920588578088578,0.8445009853023503,-0.0480856643356643,3.349997534124988e-05
SETD1B,0.9057109557109558,0.8397668997668998,0.491387033827822,0.06594405594405606,3.356755084154065e-05
ABCA8,0.14167249417249414,0.6127039627039628,0.5454935663663484,-0.4710314685314686,3.356755084154065e-05
PTCD3,0.7573382867132866,0.8656308275058274,0.35201090522579515,-0.1082925407925408,3.356755084154065e-05
VPS26A,0.8756993006993007,0.9383012820512822,0.9449547274710431,-0.06260198135198147,3.356755084154065e-05
UFSP2,0.7150597319347319,0.8245367132867133,0.9160261220190724,-0.10947698135198136,3.356755084154065e-05
GSTA4,0.7378583916083916,0.8419128787878787,0.7875188256437646,-0.10405448717948707,3.356755084154065e-05
PDCL3,0.7078030303030303,0.8327564102564102,0.779639082839255,-0.12495337995337996,3.356755084154065e-05
FAM45A,0.9042191142191142,0.9461392773892773,0.89996478387037,-0.041920163170163116,3.356755084154065e-05
LSM2,0.544080710955711,0.6644624125874125,0.9276870495626887,-0.12038170163170148,3.356755084154065e-05
ACADM,0.85006993006993,0.9720745920745922,0.9799674812760442,-0.1220046620046622,3.356755084154065e-05
CRY2,0.8801456876456875,0.7830390442890444,0.8772327186745034,0.0971066433566431,3.356755084154065e-05
AGBL5,0.47567890442890437,0.6378438228438229,0.5191205387104474,-0.16216491841491854,3.356755084154065e-05
RPS27A,0.9906264568764568,0.9944871794871796,0.9994177029021729,-0.0038607226107227888,3.644945358008816e-05
RPS24,0.9966142191142192,0.9986480186480187,0.9983355294354394,-0.002033799533799452,3.652237347926272e-05
MPC1,0.9806934731934731,0.9919609557109558,0.9895165114409603,-0.011267482517482663,3.9961922092945035e-05
MDH1,0.972074592074592,0.9910343822843823,0.9898654615400257,-0.018959790209790328,4.0120338976115375e-05
SDC4,0.9873018648018648,0.9721008158508158,0.9373067260666795,0.015201048951049012,4.0120338976115375e-05
CRYZ,0.8918356643356644,0.9675437062937065,0.9874827531948736,-0.07570804195804204,4.0120338976115375e-05
UBE2G1,0.7361829836829836,0.8446765734265734,0.7541100648554802,-0.1084935897435898,4.019973092747168e-05
INPP5J,0.9588840326340328,0.8932400932400933,0.6454972057232098,0.06564393939393942,4.019973092747168e-05
MAP3K8,0.45460518648018644,0.2896736596736596,0.4655186993366737,0.16493152680652684,4.019973092747168e-05
CHKA,0.7910227272727272,0.6682954545454545,0.7689259936782231,0.12272727272727268,4.019973092747168e-05
SENP6,0.7426369463869464,0.8683275058275057,0.1991043970923679,-0.1256905594405593,4.019973092747168e-05
IQCK,0.6272567016317017,0.8342730186480186,0.9249703767055472,-0.20701631701631695,4.019973092747168e-05
ASNSD1,0.5191083916083917,0.6887922494172494,0.8584771860492747,-0.16968385780885764,4.019973092747168e-05
SLC3A1,0.7635576923076924,0.9867773892773892,0.9483939197050837,-0.2232196969696968,4.019973092747168e-05
PPP3CB,0.7567657342657342,0.904493006993007,0.798703960797704,-0.14772727272727282,4.019973092747168e-05
CENPB,0.7143764568764569,0.5934382284382285,0.9334522189908064,0.12093822843822843,4.019973092747168e-05
GADD45A,0.9033930652680654,0.9661421911421911,0.9331300288686631,-0.06274912587412573,4.019973092747168e-05
MTX2,0.776673951048951,0.9018298368298369,0.9391927692401556,-0.12515588578088588,4.019973092747168e-05
