gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
MAP3K7CL,-0.01641998830845147,0.6690647173985879,0.06075757575757572,0.6083071416410122,-0.009988396153692953,restore_normal,-2.1826005562082322
GSK3A,0.015958365994885978,0.24898445887580262,0.8745483682983684,-0.6255639094225658,-0.009982977819757006,restore_normal,-2.1925835340279893
C8orf76,-0.01645967742281212,0.7955114955508863,0.18998834498834494,0.6055231505625414,-0.009966715730304327,restore_normal,-2.2025502497582936
ZNF284,0.0161621642543284,0.12715912873796728,0.7431905594405595,-0.6160314307025921,-0.009956401168844217,restore_normal,-2.212506650927138
SEPT10,0.015940617844295155,0.15534755322827007,0.7795993589743591,-0.624251805746089,-0.009950959474009579,restore_normal,-2.2224576104011473
ATP2B2,0.01556802482345072,0.1466848134990168,0.7858071095571096,-0.6391222960580929,-0.009949871770253211,restore_normal,-2.2324074821714004
ARHGAP6,0.014505065140898056,0.1530108720434239,0.8388782051282051,-0.6858673330847812,-0.009948550344408776,restore_normal,-2.242356032515809
SIRT3,0.015860254379538082,0.22882081626492803,0.8558158508158508,-0.6269950345509228,-0.009944300742684905,restore_normal,-2.252300333258494
SYNPO,0.0159008410295721,0.17224273225786765,0.7975160256410256,-0.625273293383158,-0.009942371238122591,restore_normal,-2.2622427044966167
MTIF2,0.016210191762610404,0.0989867602338179,0.7121940559440559,-0.613207295710238,-0.009940207853694703,restore_normal,-2.2721829123503112
FGF14-AS2,-0.016259314865564915,0.6901772687911236,0.07947843822843817,0.6106988305626855,-0.009929544574150982,restore_normal,-2.2821124569244624
SPDEF,0.0159087590539539,0.19920715540374917,0.8223324592074591,-0.6231253038037099,-0.009913150318635043,restore_normal,-2.2920256072430973
NRXN3,0.013697314003149061,0.16860498099506435,0.8921590909090908,-0.7235541099140265,-0.00991074784176145,restore_normal,-2.301936355084859
PIP,0.015065104508610172,0.19033622305404127,0.8481148018648018,-0.6577785788107605,-0.00990950303330918,restore_normal,-2.311845858118168
NLGN1,-0.016069181377143138,0.6423068812745455,0.026325757575757527,0.615981123698788,-0.009898312401612267,restore_normal,-2.3217441705197803
EMB,0.016050996732652093,0.1725306696095505,0.7889947552447552,-0.6164640856352046,-0.00989486302432803,restore_normal,-2.3316390335441084
PDCD4,-0.016519963342356545,0.6224921887627365,0.023556235431235376,0.5989359533315011,-0.009894399993455767,restore_normal,-2.341533433537564
SNX18,0.015884639876980845,0.2706038442312447,0.8934615384615385,-0.6228576942302939,-0.009893870167454868,restore_normal,-2.351427303705019
UQCC2,-0.016478916634785873,0.8589824144135657,0.2589452214452214,0.6000371929683443,-0.009887962880696271,restore_normal,-2.3613152665857156
ADH1A,-0.016054592040309804,0.8483490699837619,0.2325189393939394,0.6158301305898225,-0.009886901512750311,restore_normal,-2.371202168098466
WBSCR17,0.0152771043131592,0.23944613270165507,0.8864656177156178,-0.6470194850139628,-0.009884584165204855,restore_normal,-2.3810867522636707
FREM2,-0.016366138047385688,0.6691086037607401,0.06631118881118878,0.6027974149495513,-0.00986546570767159,restore_normal,-2.3909522179713423
USP32,0.015818569189490754,0.239347120787043,0.862782634032634,-0.623435513245591,-0.00986185780146106,restore_normal,-2.400814075772803
IRX5,-0.01583371576003841,0.7184197484348087,0.095824592074592,0.6225951563602167,-0.00985799473938434,restore_normal,-2.4106720705121876
POU2F2,0.01643065487937496,0.08636461431915655,0.6858566433566434,-0.5994920290374869,-0.00985004663205118,restore_normal,-2.420522117144239
SELK,0.015738007339818182,0.29022640010875256,0.9157284382284383,-0.6255020381196857,-0.009844155666998847,restore_normal,-2.430366272811238
PAK3,0.01602400668910665,0.1549498999712062,0.7687835081585083,-0.613833608187302,-0.0098360738435918,restore_normal,-2.4402023466548295
DGKK,0.016359811608657918,0.10018025520454786,0.7011582167832168,-0.6009779615786689,-0.00983188623238228,restore_normal,-2.450034232887212
ARID1B,0.015902714372562007,0.1745681742524065,0.792064393939394,-0.6174962196869875,-0.009819866007818964,restore_normal,-2.459854098895031
ENPP6,-0.014214148536943033,0.6976566823408773,0.00683566433566428,0.690821018005213,-0.009819432562368295,restore_normal,-2.469673531457399
FAM161B,0.015938166915655312,0.21149212560919087,0.8274562937062938,-0.615964168097103,-0.009817339725194394,restore_normal,-2.479490871182594
SPATA8,0.016389750473423635,0.09501290366087183,0.6939685314685313,-0.5989556278076595,-0.009816733284420339,restore_normal,-2.489307604467014
SLC5A5,0.016421153455904523,0.09179796003343921,0.6895979020979021,-0.5977999420644629,-0.009816564584571377,restore_normal,-2.4991241690515853
INPP5A,0.01596312977487439,0.13918345676818683,0.7539772727272727,-0.6147938159590858,-0.009814033468945127,restore_normal,-2.5089382025205302
NUDT4,0.015373909463210905,0.17541325432360946,0.8137645687645687,-0.6383513144409593,-0.009813955313936983,restore_normal,-2.5187521578344674
CD5,0.016365588639408003,0.09941063826826549,0.6978001165501165,-0.5983894782818511,-0.009792996047710743,restore_normal,-2.528545153882178
CDC42EP5,-0.01617023600740969,0.6993703912629746,0.09383595571095567,0.6055344355520189,-0.009791634733489757,restore_normal,-2.5383367886156676
GLUL,0.016178226744106454,0.36273041678128853,0.9679093822843825,-0.6051789655030939,-0.009790722524672831,restore_normal,-2.5481275111403403
BRD4,0.015818260478690876,0.3213696612508042,0.939222027972028,-0.6178523667212239,-0.009773349674171958,restore_normal,-2.557900860814512
TTC9B,0.016331797226965147,0.09736938722864037,0.6955900349650349,-0.5982206477363945,-0.009770018315814541,restore_normal,-2.567670879130327
MYLK2,0.015862680122243747,0.16497204652810707,0.780530303030303,-0.615558256502196,-0.009764403719500402,restore_normal,-2.5774352828498275
