gene,r_PC2,p_PC2
CD82,-0.7554832078472586,1.5447130099451996e-16
SLC5A10,0.7553081241182018,1.584090272137851e-16
CTSB,0.7551092810902259,1.6299881925671033e-16
GLB1L2,0.7546571560809852,1.7391848530073032e-16
GPBAR1,-0.7543359171571571,1.8210323365688217e-16
COLEC11,0.7541895780607721,1.8595404685067235e-16
PNOC,-0.7532567832326018,2.124151493071121e-16
NPC1L1,0.7531430437726228,2.1588043603375364e-16
OTOGL,0.7514201224231822,2.755544657278477e-16
CDH6,0.7506770170082306,3.0595474231264224e-16
FNBP4,-0.7498208866449498,3.450028136285867e-16
LOC100130691,0.7495728575233992,3.57187480240398e-16
CYP2S1,-0.748550213148891,4.1196539712243974e-16
DNAJC22,0.7462777719037215,5.642822731898077e-16
TUBB4A,0.7461176898808216,5.768557391856008e-16
ST3GAL1,0.7457657885256895,6.054541877719984e-16
SLC30A8,0.7444870039812341,7.213675126155139e-16
CNNM1,-0.7439997375628927,7.709493801499686e-16
GLTP,-0.7439875485231107,7.722309426452842e-16
KHK,0.743751521434307,7.974565948209108e-16
APOC2,0.743626929923612,8.110915971688004e-16
SUCLG1,0.7432780974094573,8.504758211498872e-16
TMC6,-0.7425956461179903,9.329371669234624e-16
CYP27B1,0.7424731969075672,9.485281681902687e-16
AHNAK,-0.7422478484249582,9.778812710838006e-16
LOC389332,0.741704347315282,1.0523312265036354e-15
DNMT3L,0.7416870534953731,1.0547878457663923e-15
SLCO3A1,-0.7412505711533777,1.118657787311967e-15
NXPH2,0.740480515706753,1.2405592408504715e-15
PLA2R1,0.7404486281080255,1.245874285038194e-15
RLN1,-0.739930076302174,1.3354569964961212e-15
SPIDR,-0.7399255338462155,1.3362685672779774e-15
TH,-0.7389363224080976,1.5248296227770931e-15
ETNK2,0.7384058796186715,1.636272995313021e-15
ARMC7,-0.7382502769479021,1.6704297427853088e-15
TNNT2,0.7382338966318651,1.6740652309122453e-15
CTNNBIP1,0.7380902937710849,1.7062656461248084e-15
UPP2,0.737152578604648,1.9317220537067613e-15
SPNS3,0.7368930682033528,1.9990348422442024e-15
PCDH7,-0.7368075114970644,2.021719223391032e-15
CORIN,-0.7365971003541011,2.0785697746443766e-15
SEMA4F,-0.735408991599052,2.4297223777879823e-15
SORCS1,0.7337544676068269,3.015501740111882e-15
GPR4,-0.7332006897362191,3.2404150102639174e-15
PRKCQ,-0.7329763877644706,3.3360493738794294e-15
SERPINC1,0.7329322409239025,3.3551903108827775e-15
UCP2,-0.7327926130958453,3.41642991957769e-15
SEMA6A,0.7321132589319627,3.73011830098517e-15
DPEP1,0.7319295741447482,3.819599467412492e-15
LOC100129034,0.7318501271936088,3.858940453262598e-15
PSD4,-0.7312956253700119,4.144621457025849e-15
ALDH2,0.73097149583477,4.32095798812223e-15
LPA,0.7301024185045022,4.830248752497182e-15
HSPD1,0.729972314628095,4.911311801060716e-15
AQP3,-0.7298420746481874,4.99377419358154e-15
C1QTNF3,-0.7295877804365789,5.158651649627951e-15
KYNU,0.7287938440155755,5.707931435633517e-15
CD163L1,-0.7287805495220858,5.717593216286295e-15
