,PC1,PC2,PC3,PC4,PC5
SELK,0.015738007339818182,-0.006731527408695775,-0.0010102962279225245,-0.0009669934885965541,-0.012484236385743084
SYT15,0.01607142185309493,-0.00021572507424638443,-0.0012448923160882825,-0.0032469598281984367,-0.00018261621751180002
RICTOR,0.015863858138390217,-0.00201835799489125,0.00394126003254374,0.0008406167605109347,-0.00523233734936624
FOLR3,-0.015868475782196877,0.0003732513915123104,-0.01695587736791433,-0.018486899103939972,0.0067663971071753115
PLAC4,0.015706321020851927,0.0036104074333762133,0.0015634350294102602,0.003710562423358733,0.008605553988278496
CLDN10,-0.016150633880582826,-0.001725200765770012,-0.00214642689881116,-0.002068840630737372,0.003139333148396523
USP32,0.015818569189490754,0.0015008869384835494,-0.0025294187655509528,-0.003596557513668589,-0.013609105798454419
PRKACA,0.016139663967600776,0.005674161760995193,0.000597825039018711,-0.0014947020076434602,-0.004501389246176457
MRVI1,0.01596710633833641,0.00022764636993599278,-0.005687227370498986,-0.0038539557735735733,0.005391273433671003
SIRT3,0.015860254379538082,0.002980959615198841,-0.004456570626988853,-0.0014863601954614445,0.002817665518179898
GLDC,-0.016385036919253037,0.003674639846313453,-0.002107525348450001,0.0007291690844223049,0.0019039423801748233
FAM174A,0.014356419500503998,0.0006356927172015254,0.029157956972067172,0.02081378204789925,0.02157961677002558
NRG2,0.016042373580329942,0.0023584440597544717,0.00116332845632291,-0.0016413163509314478,0.0038315693375201828
LRP2,-0.013080045091812126,0.03156741534234197,-0.010925688616266686,-0.008461680363076407,-0.0009671408065348771
MYL10,0.016100745921091543,0.002769886588706766,-0.002758253816526908,-0.0003861630157953364,0.004337298664025401
LOC728613,0.014522893802195392,0.005658260850273941,0.004552261638342286,0.007552490831336074,-0.013440147099016569
ATG4A,0.016059214269229787,0.0010358758337159165,0.002048607591852658,-0.006366967730884784,-0.009933198350152054
CABP4,0.015592471989383965,-0.010783440837917048,0.0023004715757628264,0.0013853227177231906,0.0074072909439872265
ZNF284,0.0161621642543284,-0.0009799822687631653,-0.0023660777710004183,0.002544749961734924,-0.000132271466798382
TMEM255A,0.012760627806967519,0.0015737947801588666,-0.01635928623776876,0.026783787664955396,-0.011673747579016158
ZNF574,0.015986812631340143,0.0008594897207465956,0.0035589834153082044,0.0012852132407178568,0.005670387040901901
MSLN,-0.01527290246926208,-0.013408634079021294,-0.01132493081234848,-0.006989033637640346,-0.006288671946671983
SMCR8,0.015667241740325646,0.00461982012432295,0.00648031159651931,0.008548354155118329,0.0020325246091084737
GSK3A,0.015958365994885978,0.002431832980317762,-0.003610229797246079,-0.002622040186149051,-0.005219639187208857
PPP1R12B,0.015801559077130434,-0.0007190787707662603,0.001106366673198437,0.009438937171566856,0.004213865913048026
C2orf15,-0.0162641043703846,-0.007408500224681144,-0.0068118889185720295,-0.002938558919645503,-0.004146943301133979
IRX1,-0.016403325181358817,0.003959305670717362,-0.0035104265704758897,-0.0013118785808804933,0.013080988729058485
SYNPO,0.0159008410295721,0.002139174075434798,0.0047849884054788246,0.0008244260551936621,0.002395856552049469
BOD1L1,0.015242868387282704,0.0031984232429025346,0.015949389091871723,0.0062513741500443195,0.023440993897060544
CPSF7,0.015848656956744832,0.007690092907539877,0.008527211487908266,0.0016239644481689974,-0.0009853749543489957
HDLBP,0.01613273798983518,-0.001408735588754531,-0.002510491187649594,0.00030705414130027017,-0.008713089404527108
SPRR4,0.015744699833425413,0.0073118139981484314,-0.0016796617531751885,0.0006165392935320741,0.018671561097342998
ADAM33,0.015499396870504493,0.00992985180438972,0.0006913787051864637,-0.001708433339373186,0.010591082155511895
MIR21,0.015264051276534693,-0.007338729672583668,0.013612701267114231,0.017264176933026135,-0.009557512429994707
PIP,0.015065104508610172,-0.003774925559123329,0.02439425424223419,-0.010613054484087147,-0.006263776206428694
GBA3,-0.015549131842316318,0.01540259425464254,-0.014444011084913451,-0.009598618546105131,0.0026563946089286365
WNT6,0.0156638902593582,0.004113606580031275,-0.0015142281234132476,-0.002929643867402299,0.0036366114944402657
SFRP1,-0.015801736729935238,0.000848804943943211,-0.006063885674425515,-0.005152446089793631,0.004780715921687396
SLC35E2,0.015933261241758652,-0.003269468063950194,-0.005931333631656541,0.001705520995062712,-0.0030108770094800672
AIMP1,0.015526197264499612,-0.0005777133961733048,0.004215932512398137,0.004311087728577262,0.009163729881856927
KIF3C,0.015851429894271424,-0.005692355718645711,-0.0032924401982874986,0.0004333378010964754,0.003900939028555617
TMIGD2,0.016203193214890468,0.003993424467223137,0.001537398302449073,-0.00012656399887225105,0.0067535413514284905
DEFB118,0.016196036390082085,0.0027253888652171415,-0.006722802018808251,-0.0021574140862769056,0.006533482974021187
GHR,-0.012962609651878804,0.008273772254034794,0.006119640022293674,-0.029570128896405392,-0.009430691224834968
SENP6,0.015528191658656569,0.0019432510411001211,0.006115150839797264,0.018273319817552935,0.003590609152934819
ZNF121,0.015717170931277624,-0.0044011749045214,-0.00028097037415317054,-0.007793769089642045,-0.016639419640618176
INPP5A,0.01596312977487439,-0.0004136451510431361,0.0022203041764281874,0.006526338464032312,-0.00930295884245193
SPDEF,0.0159087590539539,0.0040573957889872714,0.0012307227645949172,-0.002733053159921214,-0.003190775285795341
SLC22A8,-0.002146435818223861,0.05196567539212046,0.007161094709829503,-0.001181695823841016,0.0054323028161055
TRIM50,0.014074939108969514,0.021541596556407312,0.003579447627070665,-0.007598639071762269,-0.002171172044300729
