white_to_move,fullmove_number,halfmove_clock,w_p,b_p,diff_p,w_n,b_n,diff_n,w_b,b_b,diff_b,w_r,b_r,diff_r,w_q,b_q,diff_q,material_balance,total_material,bishop_pair_w,bishop_pair_b,king_distance,wk_file,wk_rank,bk_file,bk_rank,wk_center_dist,bk_center_dist,mobility_stm,mobility_other,in_check,w_passed_pawns,b_passed_pawns,w_isolated_pawns,b_isolated_pawns,w_doubled_pawns,b_doubled_pawns,w_most_advanced_pawn,b_most_advanced_pawn,w_rooks_open_file,b_rooks_open_file,w_rooks_7th,b_rooks_2nd,wk_pawn_shield,bk_pawn_shield,w_center_control,b_center_control,w_attackers_near_bk,b_attackers_near_wk,confirmed_optimal,fen,played_move
0,8,2,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,36,41,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,2,0,0,1,rnbqk2r/ppp2pp1/4p2p/3pP3/3Pn1Q1/2P5/P1PB1PPP/R3KBNR b KQkq - 2 8,g6
1,9,0,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,40,35,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,2,0,0,1,rnbqk2r/ppp2p2/4p1pp/3pP3/3Pn1Q1/2P5/P1PB1PPP/R3KBNR w KQkq - 0 9,Bd3
0,9,1,8,8,0,1,2,-1,2,1,1,2,2,0,1,1,0,0,72,1,0,7,4,0,4,7,3,3,35,42,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,2,0,0,1,rnbqk2r/ppp2p2/4p1pp/3pP3/3Pn1Q1/2PB4/P1PB1PPP/R3K1NR b KQkq - 1 9,Nxd2
1,10,0,8,8,0,1,2,-1,1,1,0,2,2,0,1,1,0,-3,69,0,0,7,4,0,4,7,3,3,39,33,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,2,0,1,1,rnbqk2r/ppp2p2/4p1pp/3pP3/3P2Q1/2PB4/P1Pn1PPP/R3K1NR w KQkq - 0 10,Kxd2
0,10,0,8,8,0,1,1,0,1,1,0,2,2,0,1,1,0,0,66,0,0,6,3,1,4,7,2,3,27,42,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,2,0,0,1,rnbqk2r/ppp2p2/4p1pp/3pP3/3P2Q1/2PB4/P1PK1PPP/R5NR b kq - 0 10,c5
1,11,0,8,8,0,1,1,0,1,1,0,2,2,0,1,1,0,0,66,0,0,6,3,1,4,7,2,3,43,30,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,3,0,0,0,rnbqk2r/pp3p2/4p1pp/2ppP3/3P2Q1/2PB4/P1PK1PPP/R5NR w kq - 0 11,Nh3
0,11,1,8,8,0,1,1,0,1,1,0,2,2,0,1,1,0,0,66,0,0,6,3,1,4,7,2,3,30,47,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,3,0,0,1,rnbqk2r/pp3p2/4p1pp/2ppP3/3P2Q1/2PB3N/P1PK1PPP/R6R b kq - 1 11,Nc6
1,12,2,8,8,0,1,1,0,1,1,0,2,2,0,1,1,0,0,66,0,0,6,3,1,4,7,2,3,47,34,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,4,0,0,0,r1bqk2r/pp3p2/2n1p1pp/2ppP3/3P2Q1/2PB3N/P1PK1PPP/R6R w kq - 2 12,Bb5
0,12,3,8,8,0,1,1,0,1,1,0,2,2,0,1,1,0,0,66,0,0,6,3,1,4,7,2,3,27,47,0,0,0,1,0,1,0,4,4,0,0,0,0,1,1,3,4,0,0,1,r1bqk2r/pp3p2/2n1p1pp/1BppP3/3P2Q1/2P4N/P1PK1PPP/R6R b kq - 3 12,cxd4
1,13,0,7,8,-1,1,1,0,1,1,0,2,2,0,1,1,0,-1,65,0,0,6,3,1,4,7,2,3,47,27,0,0,0,3,0,1,1,4,3,0,0,0,0,1,1,2,4,0,1,1,r1bqk2r/pp3p2/2n1p1pp/1B1pP3/3p2Q1/2P4N/P1PK1PPP/R6R w kq - 0 13,Bxc6+
