gene,r,p_value
MANSC1,0.7736108379151583,0.04128400736822576
ZNF331,0.773434025117443,0.04136041827835953
SNORA78,-0.7731447888779137,0.041485582071521664
HCST,-0.7728634427696004,0.04160753194734214
H1F0,0.7722405393884739,0.04187823381446821
SLITRK6,0.7720112145641056,0.04197813814054299
SPOCD1,0.7718816625105036,0.04203463500319052
MYOF,0.7715924549218007,0.042160908021777306
SPTLC1,0.7715443518312899,0.0421819309393142
LIFR,-0.7714785113491114,0.042210715162402664
SENP2,0.771254334025187,0.042308802550123724
LEO1,0.7708190883728683,0.042499600382324504
SIAH2,0.7708028528732647,0.04250672667338781
ERBB3,0.770754391795309,0.04252800174392837
HOTAIRM1,0.7705378859892242,0.0426231224694789
DNMBP,0.7703752189917987,0.04269466652709998
CLIC3,0.7700815194831497,0.04282400884362177
NSMCE4A,-0.770008468951359,0.04285621307947718
SERPINB3,0.7699358568087873,0.04288823728433353
EVI2B,-0.7696440516571739,0.04301706544623082
AGT,-0.7691397052443907,0.04324023027413395
MALT1,-0.7688548755945103,0.04336654396306812
TRAFD1,0.7687980206070111,0.043391781820201814
LYPD3,0.7683672540698595,0.04358326153442399
IL34,-0.7679788486051331,0.04375630978971822
CCR2,-0.7677738576794149,0.04384779279059804
HAS2,0.7673706180924,0.044028057114713984
KCNE3,-0.7670087454963599,0.04419017564056666
SIRPB1,-0.7666832609291073,0.044336272744573135
CCDC64B,0.7665653883970842,0.04438924654843719
FIG4,-0.7663413263994401,0.0444900396399519
SASH3,-0.7662590711376585,0.044527073317062044
OSM,0.7659286070372584,0.04467602873462169
FRK,0.7655933585804597,0.04482742054376914
TP63,0.7653849201525584,0.0449216894922382
SUGT1P3,-0.7652806144351033,0.04496890400607573
IRF8,-0.7648988761534705,0.045141932540272565
C6orf48,-0.7648055082409925,0.04518430858460324
RRAGD,-0.7647816614741192,0.04519513520675106
ANKMY2,0.7646489849234249,0.04525539747575449
SHMT1,-0.764589939850918,0.04528223021057178
NEFL,-0.7644784821394697,0.04533290545211238
EIF2D,-0.7644472190523077,0.045347125092632654
EPB41L3,-0.7644024921312977,0.04536747286204799
PARD3,-0.764378310029715,0.045378476198584
CD4,-0.7643318521259099,0.04539961958631973
EPB41L4A-AS1,-0.7637836520059147,0.045649519303777454
IRAK2,0.763716299267908,0.04568027442441028
NT5M,-0.7637099373298324,0.045683180049834175
FAM110B,-0.7636195776300794,0.04572446011964982
B3GNT3,0.7631791570399415,0.04592595608436559
BCL2L1,-0.7630549807988438,0.04598285575368798
ERLIN1,0.762932493866767,0.04603901929714062
BAG5,0.7628160707033584,0.046092437374447716
DPYSL2,-0.7627869302164932,0.04610581314105535
MED9,-0.7627242951716335,0.04613457045559292
ANKRD37,0.7624093361864023,0.04627932538847275
EDNRA,0.7622457362881541,0.046354614145756465
LDLR,0.7621257082494681,0.04640989388301211
PECR,-0.7620159117544902,0.04646049311868469
SNORA71D,-0.7619709472035842,0.04648122357979211
CR1,-0.7619488263731224,0.04649142403446014
LAMC2,0.761891971190381,0.046517646988894296
PYGL,0.7616456798978921,0.04663133618224293
SNORD49A,-0.7614346927119353,0.0467288500922275
NDRG3,-0.7612180906090302,0.04682907551308526
NCCRP1,0.7611083568983853,0.04687989615353963
SNORD96A,-0.7609911417189326,0.04693421510596792
ADAMTS12,0.7608082678580692,0.04701903009108446
NDUFA2,-0.7599054041301213,0.047439001508494665
RFTN1,-0.7598827673989715,0.047449557442158084
DSP,0.759533024185518,0.04761281311524781
SNORA80B,-0.7593035769629943,0.04772008334296089
DCAF10,0.7591799394128226,0.04777794079172087
QRSL1,-0.758834034927008,0.047940014690136666
CD320,-0.7585554227815572,0.04807077767020915
TMC5,0.7582410906491501,0.04821853995598138
MSRB1,0.7581845320986369,0.048245153592117736
PLS1,0.7579411108648402,0.04835978742649577
STRN3,0.7578913794603879,0.048383225683882494
LOC100506985,-0.7578228113466162,0.04841555183724975
CH25H,0.757523780311249,0.04855666719107843
ZNF581,-0.7575216437857227,0.048557676246358046
RWDD2A,-0.7572424718628612,0.0486896246836098
MAP3K13,0.7572173487210467,0.04870150856897027
COL14A1,-0.7570876269138369,0.04876289558342989
FAM177A1,0.7567996039588871,0.04889934549139377
RBBP4,-0.7563245712503366,0.04912484726354668
FBXW7,-0.7559371854410789,0.04930916329423306
GNA15,0.7558309201450264,0.04935978983932448
TMEM51-AS1,0.7558005397465933,0.04937426879536905
CD3D,-0.7557651675504753,0.04939112971713375
RASAL2,0.755658506025124,0.049441991331144304
PPP2R2A,0.7554678298648609,0.04953298683107608
MCAT,-0.7553279546933795,0.04959979708761502
USP32P2,0.7550921570385506,0.04971253561205877
