gene,normal_mean,tumor_mean,change_pct,direction,p_value,abs_change
SNUPN,4.076979886337537,4.100470205695964,0.5761696160715818,UP,0.36538461538461536,0.5761696160715818
LPP,9.126526975726138,9.074420889047031,-0.5709300681156538,DOWN,0.36538461538461536,0.5709300681156538
FAM66B,1.2466255180417167,1.253704481705927,0.5678500529437629,UP,0.47261072261072257,0.5678500529437629
CCDC120,3.5727189200852743,3.5524678139747694,-0.5668261781428215,DOWN,0.4178321678321678,0.5668261781428215
RBM8A,6.130043087292877,6.095339758387096,-0.5661188414436716,DOWN,0.47261072261072257,0.5661188414436716
MKLN1-AS,2.821560625576639,2.805631907172215,-0.5645357487638012,DOWN,0.5273892773892773,0.5645357487638012
ZFYVE26,6.430626872787177,6.466798536345886,0.56249047370138,UP,0.4178321678321678,0.56249047370138
LOC100129034,5.926870633140216,5.96017416026862,0.5619074413770191,UP,0.5273892773892773,0.5619074413770191
TRIM32,4.609890998117787,4.583987943745404,-0.5619016671534922,DOWN,0.3141025641025641,0.5619016671534922
SLC25A51,4.508597476377264,4.483313851076722,-0.5607869283744041,DOWN,0.4178321678321678,0.5607869283744041
SOS1,6.863792464982585,6.9022563948335485,0.5603888819074466,UP,0.5273892773892773,0.5603888819074466
SPDYE3,2.0950777277092567,2.083358779197645,-0.5593562642864334,DOWN,0.2226107226107226,0.5593562642864334
USP48,6.3070546304598425,6.271781678229185,-0.5592618789174199,DOWN,0.4178321678321678,0.5592618789174199
EHBP1,6.443369097978434,6.479383281554292,0.5589340456556726,UP,0.47261072261072257,0.5589340456556726
CXorf36,3.457692617633448,3.4384599477343074,-0.5562284455552379,DOWN,0.47261072261072257,0.5562284455552379
CENPB,5.846138208591657,5.813674086296687,-0.5553088404112569,DOWN,0.36538461538461536,0.5553088404112569
UTP3,4.85114423798675,4.87808076384295,0.555261285477243,UP,0.3141025641025641,0.555261285477243
INTS9,4.2179521233746184,4.194580501432694,-0.5540987962477378,DOWN,0.2668997668997669,0.5540987962477378
RGS2,5.3572937965770775,5.32772423882153,-0.5519495267263619,DOWN,0.4178321678321678,0.5519495267263619
SYTL2,6.737807427384318,6.774874882963843,0.5501412140227148,UP,0.47261072261072257,0.5501412140227148
ZNF621,6.008563634197027,6.04161776267957,0.5501169746196761,UP,0.2226107226107226,0.5501169746196761
KMT2B,5.873522285084081,5.905792124934111,0.5494120611745988,UP,0.4178321678321678,0.5494120611745988
TBC1D22B,4.64904845883532,4.623548357449599,-0.5485015183539005,DOWN,0.36538461538461536,0.5485015183539005
CD2AP,7.820030747291796,7.862889437354105,0.5480629353938541,UP,0.4178321678321678,0.5480629353938541
DESI1,5.544830066333815,5.514534137327535,-0.5463815598285955,DOWN,0.3141025641025641,0.5463815598285955
ZNF180,4.141930877265969,4.164492261460631,0.5447069220419926,UP,0.3141025641025641,0.5447069220419926
AP4M1,3.545264790591025,3.5645661793824885,0.5444272834764982,UP,0.47261072261072257,0.5444272834764982
ZNF487,2.350594917864386,2.3633637859696037,0.5432185702510952,UP,0.47261072261072257,0.5432185702510952
A2M-AS1,2.1607008378746966,2.172426080770668,0.5426592469647348,UP,0.2668997668997669,0.5426592469647348
CALCOCO2,6.884073280228599,6.846740481557126,-0.5423068167896288,DOWN,0.18298368298368298,0.5423068167896288
