gene,r_depth,p_depth,r_TI,r_depth_T1,r_depth_T2,mean_normal,mean_tumour,T_minus_N,p_OS_pooled,med_OS_hi,med_OS_lo
GPX4,-0.31895386856192465,2.7943120351280964e-08,-0.3343730729655545,-0.0475427489708847,-0.35554693924189323,12.030349999999999,12.76413275862069,0.7337827586206913,0.2555541781985192,785.5,765.0
FCGR3B,0.3169750363452974,3.4384764853613246e-08,0.24753387257654913,0.15418231401262267,0.2737042091907112,3.9548937499999997,4.258995517241379,0.3041017672413795,0.9285271261701654,773.5,771.0
EZH2,0.30754752784010514,9.050478451449964e-08,0.33009056120339103,0.104816363124035,0.4008480722497959,4.798084375,6.924504137931034,2.126419762931034,0.008006847509978108,657.5,841.0
SETD2,0.3074560613851429,9.134354467585243e-08,0.3440724325132533,-0.02253712133502786,0.37138643672720006,10.828321875,10.477135172413794,-0.3511867025862063,0.3301906562994013,788.5,708.0
HMOX1,-0.29725361262888716,2.5063779396396946e-07,-0.42529084205341194,-0.3339486605231843,-0.38309303410486095,9.990375,11.20144620689655,1.2110712068965501,0.9055305816394796,778.5,769.0
CMA1,0.29569634303909653,2.9139770476201854e-07,0.3449631956452384,-0.05383081684411757,0.34087129055472654,1.355215625,1.6817155172413794,0.3264998922413793,0.13592732313979516,724.0,792.0
TET2,0.2921370286008339,4.0983336643136777e-07,0.3155431060555736,0.2402527428253208,0.21582673473961148,8.880453124999999,8.529613448275862,-0.35083967672413685,0.6273849516384766,798.0,671.0
CDKN2B,0.2904518813800492,4.808783789668588e-07,0.19284275772323917,0.2018763572105726,0.3749996520657408,5.760521875,6.161759655172414,0.40123778017241385,0.004213774377652523,798.0,757.0
SLC38A1,0.2861365888043089,7.207559412879465e-07,0.3162196539057942,0.12221583767988028,0.4473531801851645,11.485737499999999,12.210532068965517,0.7247945689655175,0.28352395365507177,774.5,771.0
PFKL,-0.2851896935975409,7.869790925478061e-07,-0.3576293766670704,-0.039751305515845166,-0.23925350399553028,12.97553125,12.320111724137933,-0.655419525862067,0.7895862609341022,791.5,768.0
TNF,0.28306968100434354,9.5703294229742e-07,0.21452653894832516,0.3194872714760414,0.2024977562979518,3.697109375,4.067665517241379,0.3705561422413792,0.3487197014000214,823.0,677.0
HK2,0.28056942173196325,1.2029094479835302e-06,0.1562034770471001,0.15648256861428747,0.4170250967789395,6.610540625,10.038404827586207,3.427864202586208,0.178814898501267,750.5,799.0
LOXL2,0.27538765536781884,1.918551095972204e-06,0.2207380504266338,0.21071488061426263,0.31149930853447466,7.585178125,8.36526275862069,0.7800846336206897,0.02472400558528486,632.5,824.0
CCND2,0.2641663767753579,5.104906619948641e-06,0.21472093821529525,0.12024307464860351,0.09383657484453393,9.023559375,11.149030000000002,2.125470625000002,0.02904537818262956,801.0,697.0
CXCL10,-0.26024541323498307,7.112641464696564e-06,-0.3008595128682419,-0.3201442277887826,-0.22621602042072086,5.485646875,5.260589310344828,-0.22505756465517202,0.01921627081456027,755.5,791.0
SLC40A1,-0.25907853558938154,7.842527511542283e-06,-0.261022247062991,-0.21216611118767398,-0.368255316848355,11.620365625,11.731162068965517,0.11079644396551735,0.5443686996104322,674.0,823.0
CDKN1A,0.2573883087278524,9.027156231492793e-06,0.16425337863352527,-0.023397619589148357,0.35728637146360953,11.062896875,12.647183103448276,1.584286228448276,0.006763606035097181,785.5,768.0
FBP1,-0.25401758552573583,1.191596002304298e-05,-0.23459839844251953,-0.22980910127920262,-0.43662866400722267,12.27021875,9.62227379310345,-2.6479449568965503,0.04987983303553568,791.5,729.0
PXN,0.2510935976227297,1.5113797396524221e-05,0.2253444862653217,-0.002045424877364768,0.36380372701770003,11.931250000000002,11.439720689655173,-0.49152931034482883,0.9290582302605549,768.5,780.0
AKT1,0.24081082478884888,3.40856573169237e-05,0.1739478309129311,0.4057082401227806,0.2664408112370238,11.54531875,11.508325517241378,-0.036993232758621986,0.013359025807661466,791.0,744.0
PBRM1,0.23957370368340591,3.750049063784177e-05,0.23281562999379515,0.07651696589355794,0.2564760047124759,9.66060625,9.261515862068965,-0.3990903879310359,0.8439445899674645,770.0,778.0
HLA-A,-0.23660060420939805,4.7075273049817876e-05,-0.3290391010910535,-0.13197148944922665,-0.3797647142656191,14.101700000000001,15.430175862068966,1.3284758620689647,0.28733852603753474,742.0,823.0
CDKN1B,0.23039794225814525,7.495117059158694e-05,0.228612624027967,0.21588471900444892,0.24433759763000595,10.100559375,9.742270000000001,-0.35828937499999824,0.043147039054139136,702.5,792.0
CDK4,-0.2229189110328758,0.0001291594570231354,-0.22463014032679723,-0.30269856761307823,-0.028649982701337704,10.454621875,10.885603103448275,0.4309812284482746,0.008913036575743084,665.0,805.0
B2M,-0.22179647815873324,0.00013993391165688742,-0.3135844110263739,-0.17749032661028613,-0.40225894421609815,14.618540625000001,15.256592413793102,0.638051788793101,0.38770071728779587,762.0,791.0
IL6,0.22065379235340057,0.00015176373652982218,0.09108470627061359,-0.025049462406569294,0.43338121148938874,5.501475,3.278059310344827,-2.223415689655173,0.01788760254120052,841.5,709.0
FANCD2,0.22032226413429296,0.0001553673706486574,0.17566151486793974,-0.001250853122323592,0.2883069728906466,6.09048125,7.007244827586208,0.9167635775862077,0.03574389397193726,773.5,771.0
PDK3,-0.21942221159960668,0.0001655588656100565,-0.2899212240082152,-0.1659581801675603,-0.08631975680105103,7.53890625,6.673296206896551,-0.865610043103449,0.38688279008696347,788.5,767.0
TGFB1,0.21856538872647385,0.00017583922633471877,0.14601965517162577,0.1286464318395672,0.3752261868342707,9.858934375,9.927305172413792,0.0683707974137917,0.40892185699390304,705.0,803.0
SOS1,0.213026693282042,0.0002581093042565169,0.2648072497194288,0.028737184070510652,0.22415052324355877,9.987984375,9.836884827586207,-0.15109954741379283,0.1072921198101823,788.5,767.0
PTGS2,0.2108787358424114,0.00029875562026783405,0.0933192666484466,0.3735506905991448,0.12247612093963296,7.604478125,4.6759517241379305,-2.9285264008620695,0.27391669678190245,750.5,803.0
KRAS,0.21083769001398722,0.00029958746073484755,0.3216040574534166,-0.08681821575974077,0.15609241193316786,9.792515625,9.88419172413793,0.09167609913792951,0.5313444721922582,777.5,771.0
TWIST1,0.21053335725736078,0.00030582275332463577,0.1377588061707882,0.16678313801622563,0.31684509635894764,2.95280625,1.887431724137931,-1.065374525862069,0.0014055315618640974,681.0,803.0
LDHA,0.21025807254082757,0.0003115668189251863,0.09955973138419778,0.1485165539338546,0.4242208605218122,13.094959375000002,13.652277586206896,0.5573182112068942,0.23285993033491117,794.5,767.0
CCND3,0.20310309310197835,0.0005011803296674606,0.18088045248104112,0.38432330729382735,0.19064844436376444,10.121224999999999,10.477827931034483,0.3566029310344838,0.5223377653435812,774.5,767.0
ALDOA,-0.2025277706655606,0.0005203478814966737,-0.2950097831184443,-0.10996641484910646,0.13329238788983488,14.45494375,15.423580000000001,0.9686362500000012,0.990632736194274,715.5,792.0
E2F3,-0.1960228040525329,0.0007897821423816085,-0.27071979025531157,-0.3045158305756198,-0.18779345719161164,8.13991875,8.484151034482759,0.344232284482759,0.0011679820666879494,757.5,778.0
VEGFA,-0.18376447037402993,0.001674052576554163,-0.16036912594100267,-0.08722827097242612,-0.006378417214143936,11.611493750000001,10.138235862068965,-1.4732578879310356,0.0007315118163931767,724.0,791.0
SMARCA4,0.18103230085842686,0.0019670162353868773,0.1439920253449566,0.4009717500428398,0.1906289776473089,11.634775,11.64016551724138,0.005390517241380621,0.4716263252916507,748.5,791.0
FAP,0.1734329590300091,0.0030446979953332614,0.06678307517501109,0.1109622544405055,0.24834904084166576,3.6143093750000004,4.299844827586207,0.6855354525862065,0.00528072124934585,718.5,797.0
ARID1A,0.17066397916107034,0.0035549818130811072,0.1430065403178552,0.08142969931675388,0.12579124306335582,11.170809375,10.474513448275863,-0.6962959267241366,0.46223378813158245,767.5,792.0
ACSL4,0.17063211755352456,0.003561279092821417,0.16950435076288115,-0.1497193315469282,0.44998094371072206,11.815115625,10.577841724137931,-1.2372739008620695,0.36612981902752295,767.0,780.0
SLC2A1,0.1666261190200829,0.004438322645156637,0.055489057650059015,0.1083338914988317,0.36490182409994915,10.391790624999999,10.01623103448276,-0.3755595905172395,0.06312972422193207,742.0,780.0
SNAI1,0.15840294622255724,0.006872902965796296,0.07997245706058351,0.07548372043097276,0.30465646499979554,6.7193125,4.769503448275862,-1.949809051724138,0.01388033393935839,795.0,767.0
S100A9,0.15686760799173424,0.007441528659968182,0.017651938006898155,0.13568278158778443,0.16116400363594835,6.79176875,7.689292413793104,0.8975236637931037,0.7059251721380538,724.0,823.0
PDGFRA,0.15532993657185257,0.008052719961411966,0.07946031254405092,0.12318577351388599,0.19464679017450526,10.11735625,5.798534827586207,-4.3188214224137935,0.042120510317606594,769.5,780.0
FN1,-0.15421608374721993,0.008522975293123649,-0.26656795095441455,-0.19525878919324385,-0.00524539814989948,12.597515625,12.479354137931034,-0.11816148706896534,0.01301090159213162,778.5,769.0
STAT5B,0.1520218536822719,0.009521347615459464,0.19876135512701093,0.08225480509090943,0.08591631212888089,11.121321875,11.05376,-0.0675618749999991,0.1609952258310376,788.5,740.0
CDK6,0.14575593061965958,0.012966167324976777,0.16533737577523952,0.01323143797743033,0.3487752071795628,9.897359375,9.940492068965517,0.04313269396551611,0.2432988246135927,684.0,845.0
CCNE2,0.14484537764351102,0.013548792017929964,0.1425942235697746,0.058874188148724874,0.22413032351073545,2.878434375,4.406198620689655,1.5277642456896552,0.012106184428215695,767.5,778.0
CD163,-0.1370015916645917,0.01959611728217236,-0.27217668405784834,-0.22181352663251924,-0.18543941349216855,8.071590625,8.99280827586207,0.9212176508620686,0.8023350474023125,762.0,797.0
GAB1,0.13620482877603912,0.020325178794480994,0.12759692928194188,0.00833714181037587,0.0976164255409113,9.571831249999999,8.993643103448276,-0.5781881465517227,0.10975828894210504,886.5,608.0
