gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
UTP20,0.0157954078723329,0.1441377988955622,0.7890909090909092,-0.644953110195347,-0.0101872974340652,restore_normal,0.644953110195347
MRVI1,0.0159671063383364,0.2918196891347,0.9272027972027972,-0.6353831080680971,-0.010145229652106,restore_normal,0.6353831080680972
WNT10B,0.0163053704930488,0.1084672848578135,0.7302666083916084,-0.6217993235337949,-0.0101386683425457,restore_normal,0.6217993235337949
MIR1236,0.0160621229710314,0.186549151120012,0.8177258158508157,-0.6311766647308037,-0.0101380372053516,restore_normal,0.6311766647308037
ANXA8,0.0163257155759706,0.101342708602048,0.7220163170163169,-0.6206736084142688,-0.0101329407964827,restore_normal,0.6206736084142689
HTATSF1,0.015824259878244,0.1387510155411241,0.7789889277389277,-0.6402379121978036,-0.0101312911065224,restore_normal,0.6402379121978036
IFT74,-0.0163446386241808,0.8329406752719616,0.213135198135198,0.6198054771367635,-0.0101304965410884,restore_normal,0.6198054771367636
ANKRD11,0.0159080948045038,0.1676228898420197,0.8041797785547786,-0.6365568887127588,-0.0101264073341025,restore_normal,0.636556888712759
ASB12,0.0164085026863138,0.2086154280900547,0.8256570512820514,-0.6170416231919966,-0.0101247291317133,restore_normal,0.6170416231919966
MYL10,0.0161007459210915,0.1874070759801376,0.8161378205128205,-0.6287307445326829,-0.0101230339704994,restore_normal,0.6287307445326829
LINC01210,0.0158444776310465,0.2457036857051414,0.8842948717948719,-0.6385911860897304,-0.0101181437633822,restore_normal,0.6385911860897304
RICTOR,0.0158638581383902,0.2806399059761451,0.917357226107226,-0.6367173201310811,-0.0101007932408154,restore_normal,0.636717320131081
ZNF574,0.0159868126313401,0.1970155132938212,0.8282124125874126,-0.6311968992935914,-0.0100908265624895,restore_normal,0.6311968992935915
CCDC142,0.0159058924431727,0.2075337898228596,0.8417686480186481,-0.6342348581957885,-0.0100880714381731,restore_normal,0.6342348581957885
DEFB118,0.016196036390082,0.1240581826122232,0.7467176573426573,-0.622659474730434,-0.0100846155113635,restore_normal,0.622659474730434
MROH1,0.016270884150612,0.2072276556868697,0.8267715617715617,-0.619543906084692,-0.0100805271221217,restore_normal,0.619543906084692
LIN54,-0.0164808794803958,0.644689589619698,0.0332269813519813,0.6114626082677167,-0.0100774415536287,restore_normal,0.6114626082677167
TRAF7,0.0161224886151859,0.1051624277079222,0.729975233100233,-0.6248128053923108,-0.0100735373415598,restore_normal,0.6248128053923109
HDLBP,0.0161327379898351,0.2813254965848917,0.9045352564102564,-0.6232097598253646,-0.0100540797679707,restore_normal,0.6232097598253648
CPSF7,0.0158486569567448,0.2868428686267101,0.9211625874125874,-0.6343197187858773,-0.0100531156239362,restore_normal,0.6343197187858773
ABI2,0.0158482582449433,0.1624721294840355,0.7933158508158508,-0.6308437213318152,-0.0099977742078676,restore_normal,0.6308437213318152
TNFRSF19,-0.0163528758780973,0.8588068689649561,0.2479778554778554,0.6108290134871006,-0.0099888110402951,restore_normal,0.6108290134871006
MAP3K7CL,-0.0164199883084514,0.6690647173985879,0.0607575757575757,0.6083071416410122,-0.0099883961536929,restore_normal,0.6083071416410122
GSK3A,0.0159583659948859,0.2489844588758026,0.8745483682983684,-0.6255639094225658,-0.009982977819757,restore_normal,0.6255639094225658
C8orf76,-0.0164596774228121,0.7955114955508863,0.1899883449883449,0.6055231505625414,-0.0099667157303043,restore_normal,0.6055231505625414
ZNF284,0.0161621642543284,0.1271591287379672,0.7431905594405595,-0.6160314307025921,-0.0099564011688442,restore_normal,0.6160314307025923
SEPT10,0.0159406178442951,0.15534755322827,0.7795993589743591,-0.624251805746089,-0.0099509594740095,restore_normal,0.6242518057460891
SIRT3,0.015860254379538,0.228820816264928,0.8558158508158508,-0.6269950345509228,-0.0099443007426849,restore_normal,0.6269950345509228
SYNPO,0.0159008410295721,0.1722427322578676,0.7975160256410256,-0.625273293383158,-0.0099423712381225,restore_normal,0.6252732933831581
MTIF2,0.0162101917626104,0.0989867602338179,0.7121940559440559,-0.613207295710238,-0.0099402078536947,restore_normal,0.613207295710238
FGF14-AS2,-0.0162593148655649,0.6901772687911236,0.0794784382284381,0.6106988305626855,-0.0099295445741509,restore_normal,0.6106988305626855
SPDEF,0.0159087590539539,0.1992071554037491,0.8223324592074591,-0.6231253038037099,-0.009913150318635,restore_normal,0.62312530380371
NLGN1,-0.0160691813771431,0.6423068812745455,0.0263257575757575,0.615981123698788,-0.0098983124016122,restore_normal,0.615981123698788
