gene,ilc_mean,norm_mean,pct_change,pval,abs_pct
IP6K1,10.385155392156864,10.407784980237155,-0.21742943501677556,0.31542302102994557,0.21742943501677556
ABL1,11.151765686274507,11.176033201581028,-0.21713889775388304,0.7970156935994652,0.21713889775388304
TCTA,9.927606862745098,9.94920395256917,-0.21707354605485413,0.6204694498902678,0.21707354605485413
ACTN4,13.239137254901959,13.26786956521739,-0.21655556812794916,0.5694046369922475,0.21655556812794916
C5orf32,9.475126960784314,9.495632806324112,-0.21595027901817387,0.8238038907595637,0.21595027901817387
DERL2,9.139972549019609,9.159735968379447,-0.2157640725460253,0.540514838544083,0.2157640725460253
CIZ1,10.796116666666666,10.77287628458498,0.21573052050121067,0.6255071649615837,0.21573052050121067
C20orf4,10.223965196078431,10.246034782608696,-0.2153963655064368,0.8276880006790295,0.2153963655064368
DHX29,10.206084803921568,10.228112252964427,-0.21536182335577234,0.8552695123921443,0.21536182335577234
SNTA1,8.737964215686276,8.719213438735178,0.21505124381744647,0.30758856940186263,0.21505124381744647
CBR4,9.074521078431372,9.094031225296442,-0.2145379357264503,0.4371720171914143,0.2145379357264503
EXOSC9,8.777235294117647,8.758454940711461,0.2144254155934507,0.5107730929576043,0.2144254155934507
TC2N,11.352979411764705,11.328769565217389,0.2137023478846977,0.8726355302903479,0.2137023478846977
RPS13,12.882170098039216,12.909751778656126,-0.21364996856493554,0.514673337086385,0.21364996856493554
C3orf21,8.332477941176471,8.314716996047432,0.21360853457167636,0.23311897377667357,0.21360853457167636
SLC36A3,0.10728382352941176,0.10751343873517787,-0.21356884168841317,0.9130573526739458,0.21356884168841317
RGS9,4.4296838235294125,4.4391312252964426,-0.2128209617502168,0.639451020105645,0.2128209617502168
SETMAR,9.113590686274511,9.094249011857707,0.21268028169874176,0.7764641181621796,0.21268028169874176
BOK,10.020944117647058,10.042279446640316,-0.2124550417723726,0.34205426286491547,0.2124550417723726
NADK,10.10646568627451,10.127977075098814,-0.21239571006922636,0.7950913259462307,0.21239571006922636
ZDHHC23,7.457653431372548,7.441854545454545,0.21229769839633664,0.7141985081211437,0.21229769839633664
CD81,13.454460784313726,13.426190513833992,0.21056062366018713,0.3226899266113863,0.21056062366018713
NGRN,11.416596078431372,11.392625691699607,0.21040265326393853,0.14618570494508062,0.21040265326393853
PSMA4,10.8974318627451,10.920336363636364,-0.20974171608426512,0.9519916009927015,0.20974171608426512
EIF3I,11.746199019607843,11.770864031620555,-0.20954291839964165,0.38607779681038845,0.20954291839964165
C18orf1,10.452399019607844,10.430542687747037,0.2095416558381185,0.9951678648022142,0.2095416558381185
TNP1,0.028172549019607845,0.028113833992094862,0.20884745755236372,0.9719375661516713,0.20884745755236372
VEGFB,10.551815196078431,10.573863636363637,-0.2085182960879185,0.4697856821929046,0.2085182960879185
TSSK4,3.640817647058823,3.63324743083004,0.2083595013250642,0.9749905348913387,0.2083595013250642
DOCK6,9.635671568627451,9.615642687747036,0.20829477062347523,0.6287912101397384,0.20829477062347523
KLHDC8B,9.07677156862745,9.057923320158102,0.20808575876771077,0.7539019630179804,0.20808575876771077
INTS4,9.231352450980392,9.212200395256918,0.20789881789083425,0.8880926654003334,0.20789881789083425
LOC80054,5.882575,5.894812252964426,-0.2075935999195253,0.7978407896040244,0.2075935999195253
HEMGN,0.6952799019607844,0.6967249011857707,-0.20739882018383946,0.8447436183970032,0.20739882018383946
ILK,11.202150980392156,11.17898418972332,0.2072352038044187,0.6919957578406939,0.2072352038044187
SLC45A4,8.469070588235295,8.45161422924901,0.20654467315691016,0.3550592521410416,0.20654467315691016
C2orf70,1.883143137254902,1.8792731225296442,0.2059314678032742,0.6772543067294883,0.2059314678032742
CCT7,12.051366666666667,12.026661264822133,0.20542194795821417,0.4144058074841088,0.20542194795821417
RNF4,10.55566323529412,10.534026877470357,0.20539493657489477,0.0557411956039032,0.20539493657489477
SRF,10.540020588235295,10.518453359683793,0.20504182329854093,0.8221405618299577,0.20504182329854093
BRE,9.181094607843137,9.199945059288538,-0.204897434972926,0.7326202176142627,0.204897434972926
SYDE1,8.242651470588235,8.259491699604743,-0.20388941146721132,0.7871324136269703,0.20388941146721132
TPD52L2,11.221781862745098,11.244705533596838,-0.20386190446026287,0.6499293730465423,0.20386190446026287
APH1B,9.16669362745098,9.148145454545453,0.20275336676365568,0.39790024348531794,0.20275336676365568
RAB40B,8.4431318627451,8.426053359683795,0.20268686100446465,0.8396438777265494,0.20268686100446465
NPLOC4,11.11206960784314,11.134622134387353,-0.20254415706271808,0.9483036279579968,0.20254415706271808
LAP3,11.202627941176468,11.180001976284585,0.20237889885778548,0.22909452091130744,0.20237889885778548
TFDP1,10.580569607843138,10.602016205533596,-0.20228791651218467,0.3133667788516099,0.20228791651218467
COX4I1,11.806780392156863,11.782952964426876,0.20221949287180424,0.7094195894131738,0.20221949287180424
POP5,8.187724509803923,8.171224901185772,0.20192332015921727,0.5864475458926192,0.20192332015921727
SPRYD4,8.240625,8.224061264822135,0.20140578534738268,0.9196947136626474,0.20140578534738268
ZC3H8,7.18126274509804,7.195751778656127,-0.20135538306175765,0.9021818093506724,0.20135538306175765
PLEKHF1,7.390292647058823,7.375496837944664,0.20060762602512727,0.7623053713339906,0.20060762602512727
LOC389332,0.524418137254902,0.5233699604743083,0.20027453995331512,0.0999785925712342,0.20027453995331512
GORASP1,10.120844607843138,10.100617786561266,0.2002533083548952,0.9778317308339932,0.2002533083548952
PPRC1,10.020319117647059,10.000413833992097,0.19904459940750466,0.6917330100917478,0.19904459940750466
ANKRD50,10.472091176470588,10.49293043478261,-0.19860284447271193,0.7253926975723497,0.19860284447271193
ITGA5,11.054260294117649,11.032413833992097,0.1980206730302351,0.7012160666132907,0.1980206730302351
DEGS1,11.02531274509804,11.003552173913043,0.1977595129378863,0.42425278563521607,0.1977595129378863
WDR88,2.335480882352941,2.3308774703557313,0.19749695364754782,0.9021817818179219,0.19749695364754782
LOC375190,6.286039705882353,6.298441897233202,-0.19690887926261283,0.2578680350354021,0.19690887926261283
RBMX2,8.718570098039216,8.735730039525691,-0.19643397184704575,0.5068883249914587,0.19643397184704575
PTPN1,10.582742647058824,10.562060474308302,0.19581570093099332,0.08973241154014383,0.19581570093099332
COPG,12.112026960784315,12.088386561264821,0.19556290163027226,0.19022117840295283,0.19556290163027226
IFT74,8.477638235294117,8.49421304347826,-0.19513059184297307,0.6609936973264602,0.19513059184297307
BET1,9.027056862745098,9.009481818181818,0.19507275687945003,0.9988630201966308,0.19507275687945003
MMAB,9.04282843137255,9.025233596837946,0.19495156935071964,0.39829797102072784,0.19495156935071964
RUFY3,9.61360294117647,9.594907509881423,0.1948474362654691,0.9174326189441134,0.1948474362654691
GLCE,10.09537107843137,10.075742687747034,0.19480837584514074,0.9423485158690498,0.19480837584514074
RHOA,13.503070098039215,13.529308300395257,-0.1939360222523409,0.6478791767114905,0.1939360222523409
BRIX1,9.321821078431372,9.339931225296441,-0.19390021648146247,0.697786121084855,0.19390021648146247
SH3BP2,10.07003088235294,10.050546640316206,0.193862510508394,0.9081087030914068,0.193862510508394
CKAP2,8.978482352941176,8.961154150197627,0.19337021161684756,0.4313097017934622,0.19337021161684756
CLDN12,9.977358333333333,9.99668300395257,-0.19331082731738966,0.669535603095166,0.19331082731738966
STX16,10.621529901960782,10.601091304347827,0.19279710952562584,0.9361132853796119,0.19279710952562584
SASS6,7.298560784313724,7.312628458498025,-0.19237507093570624,0.9769793510864211,0.19237507093570624
TECTA,4.048464215686274,4.040698814229249,0.19217966530143882,0.7163260421877489,0.19217966530143882
PPP1R3D,8.483101960784314,8.499394071146245,-0.19168555105874668,0.42673547273861123,0.19168555105874668
FNDC8,3.1459362745098036,3.1519695652173914,-0.1914133554513436,0.8892185634075505,0.1914133554513436
YTHDC2,9.803009803921569,9.784363636363636,0.190571081073007,0.6212240124747564,0.190571081073007
SIGMAR1,10.088593137254904,10.107847430830038,-0.19048856551204352,0.6789030055842222,0.19048856551204352
AQP3,8.925405392156861,8.942375494071147,-0.18977174382284545,0.4754960735308531,0.18977174382284545
HDHD1A,8.443747549019609,8.459799209486167,-0.18974044264029008,0.8011434304468643,0.18974044264029008
NDUFA12,9.24525980392157,9.22775770750988,0.1896679233075855,0.5202057848383528,0.1896679233075855
ZNF846,6.467330882352942,6.4551027667984195,0.1894333211458321,0.9157364779015332,0.1894333211458321
PISD,9.64073725490196,9.659007114624506,-0.18914842390874387,0.397701462136527,0.18914842390874387
KGFLP2,6.499309803921568,6.48716956521739,0.1871423057795618,0.5225200839227537,0.1871423057795618
ST6GALNAC5,6.921652941176471,6.908732015810277,0.1870231083884111,0.25414024968240223,0.1870231083884111
ZNF410,10.145271568627452,10.126446245059288,0.18590256752065237,0.16032638596804605,0.18590256752065237
UMPS,9.383325490196079,9.365921343873516,0.18582417771366966,0.20092104233698493,0.18582417771366966
SRXN1,9.820467156862746,9.802294071146244,0.18539625096532483,0.2734696843209058,0.18539625096532483
SLC25A24,10.31651617647059,10.33559960474308,-0.1846378439789203,0.7530902551502942,0.1846378439789203
TNFRSF10B,9.676852450980393,9.659042687747036,0.1843843516288596,0.43969846981765315,0.1843843516288596
POM121,11.030411764705883,11.05077114624506,-0.18423493953265135,0.7715542884542139,0.18423493953265135
WDR86,5.402758333333333,5.412718972332017,-0.1840228367591061,0.692521465583311,0.1840228367591061
C1orf144,11.489520098039216,11.510665612648221,-0.18370366511011915,0.754172510540809,0.18370366511011915
LOC100303728,4.674554901960785,4.666001581027667,0.18331157383006316,0.5369852136751017,0.18331157383006316
C20orf7,7.150956862745098,7.137879446640316,0.18321150143461673,0.6628019804706811,0.18321150143461673
CAPN3,6.23401274509804,6.222613438735178,0.18319161996955374,0.6612519126766778,0.18319161996955374
MED28,9.164568137254902,9.181363636363637,-0.18293033337896322,0.4026895970273976,0.18293033337896322
MGST2,9.38356225490196,9.366441897233202,0.18278400545906467,0.6906822526468156,0.18278400545906467
ZNF627,9.01504656862745,9.031539920948617,-0.1826194919751204,0.5808216527251138,0.1826194919751204
