sample_id,depth_s1_TF,depth_s2_metabolic,metab_score,depth_combined
GSM363182,0.23762038044875797,0.37777688750302885,0.26651514257039943,0.318545689995435
GSM363184,0.8019057750297676,0.8591687016704177,1.0,1.0
GSM363186,0.03594050354877731,0.06142999815602275,0.044365074679733274,0.030247070006205006
GSM363188,0.21810528847222493,0.24339249986974854,0.0322480665918885,0.17795804813205832
GSM363190,0.4183948903830881,0.503827767929878,0.29281539642245724,0.4559596571585584
GSM363192,0.2345471826835255,0.2954333226348167,0.3111901529015879,0.2989708106391396
GSM363194,0.55344220704372,0.6414989589239464,0.5751962925792551,0.663702441423212
GSM363196,0.0910856874951886,0.12765180543006188,0.22542653049176453,0.1410216744093499
GSM363198,0.24915537259036974,0.44322358600270273,0.49442115827380584,0.4258272136269226
GSM363200,0.1366226923338978,0.17746106699370962,0.10514198004604802,0.14060069680416762
GSM363202,0.16675533054624067,0.2595678547924649,0.22322746325048692,0.22599637649376755
GSM363204,0.4508739391108022,0.5552676427273979,0.36866107798571335,0.5159437492477018
GSM363205,0.20527296370040105,0.32265923865422164,0.25854536867583666,0.27976338695020864
GSM363207,0.31725777079771533,0.3762588294180257,0.4187525827970957,0.40300417309811637
GSM363209,0.4396541055879869,0.5051738267165359,0.3247830450439816,0.4763200159361154
GSM363211,0.38003841350511547,0.5922808440827518,0.5772034948934412,0.5698250593012911
GSM363213,0.28177463283733495,0.2311091913965863,0.26279591475293673,0.2773049371910078
GSM363215,0.4120646902647822,0.5326583707730851,0.39593541531377285,0.49920855347458826
GSM363217,0.41594319620130976,0.5408710115454627,0.7723448845858671,0.6296554702320152
GSM363218,0.6154945661625544,0.7243164007830678,0.8164443001357813,0.8041957024459364
GSM363220,0.2122031597748068,0.2754758689815716,0.15598618572524958,0.2295733308322675
GSM363222,0.6284069500362103,0.7693409122829838,0.6196351614617158,0.7622795505114582
GSM363224,0.25397810012867383,0.28155075756894765,0.24037723596434246,0.278153701660183
GSM363226,0.09806786589798977,0.07862020838148581,0.09972548556585425,0.08239618589868096
GSM363228,0.3167480831662104,0.463287600710865,0.2978776787295593,0.39752058921608063
GSM363230,0.23038578006734817,0.2999602581499783,0.12452033768227178,0.23677599810965247
GSM363232,0.23011488996164264,0.32515415416705196,0.34566680441584485,0.32051488456446225
GSM363235,0.5038855542696384,0.6743569391996249,0.6825373398665803,0.6913487304122947
GSM363237,0.5451969583813571,0.6935325755668255,0.6618306865812622,0.7099695966435823
GSM363239,0.2617403750891955,0.4298252222176854,0.3645581203140684,0.38257102947752614
GSM363241,0.2151099859954651,0.2783193212743283,0.18476592478894838,0.24156386272363384
GSM363243,0.07010842952426799,0.06036986419408005,0.09678847629730214,0.06202120409506227
GSM363245,0.5730276378978926,0.7215170545034706,0.6404156089497609,0.7260895597495943
GSM363247,0.20418826159704934,0.2759620625505033,0.21028396009209516,0.2444138582960905
GSM363249,0.5932422144222039,0.8009416529405785,0.6449022964755887,0.7682647564815216
GSM363251,0.24942714137166608,0.34674537573250497,0.24344707479780403,0.30345534001294794
GSM363263,0.5879560124080631,0.714575046168892,0.4829978156915996,0.6772570315858587
GSM363264,0.14665908133857325,0.18352221632107762,0.1633065706358109,0.16675408918991844
GSM363265,0.3329823867824109,0.4278950318681155,0.3164590589763273,0.39646639905797904
GSM363266,0.3281650349056567,0.3559034188360433,0.23496074148414892,0.33824851393793337
GSM363267,0.18586883789092062,0.18824134763962908,0.17015467264891693,0.1878355468284155
GSM363268,0.5064191555614358,0.6259843325078813,0.5852323041501861,0.6405364777689366
GSM363269,0.06778278643674597,0.1599119077037736,0.07206741838361164,0.09284262392050219
GSM363270,0.23445940080031127,0.31195356922766193,0.2550327646260109,0.28686298939590243
GSM363271,0.5399334624602572,0.6800102721003229,0.7679910266249487,0.7376452966014503
GSM363272,0.08307513188761195,0.060206118748543806,0.049914398724836495,0.05191924702569408
GSM363273,0.05444444315155837,0.07348031414815234,0.090840663557471,0.05856418375658241
GSM363274,0.42934495854480303,0.5972467610877537,0.45489698329299255,0.552306015864124
GSM363275,0.15283382461726047,0.047052003574792806,0.02004250546077091,0.06673357472773081
GSM363288,0.26286860949105584,0.32670288749910975,0.20023318968061887,0.28677718627190707
GSM363289,0.296531212322301,0.4097616739424578,0.2826613141271619,0.3621916568447577
GSM363290,0.25020560610328935,0.3659241934430721,0.19096463781805284,0.2940158877679439
GSM363291,0.32474720503256926,0.3597300372979506,0.2278617391817701,0.3359492517118477
GSM363292,0.30441586128909115,0.2945958898875796,0.30112462364956594,0.32539193648962966
GSM363293,0.12226419074826884,0.11740352190315874,0.07671645315544007,0.10076478903972229
GSM363294,0.3382092373487193,0.4355108751876464,0.25339453332546225,0.3807629181641505
GSM363295,0.02850942552715885,0.09328157573880619,0.11963516146171582,0.06495407325648797
GSM363296,0.5102781543021124,0.617492121392897,0.43306865812621775,0.5880605056300637
GSM363297,0.48330219002857583,0.6097925078259374,0.45950174154318424,0.5821459354231607
