gene,r_pc1,r_pc2,r_depth,clean_r,dominant
CDC20B,-0.4578,0.608,-0.4578,0.6838,PC2
LINGO2,-0.5966,0.5488,-0.5966,0.6838,depth
SOGA1,-0.593,-0.5504,-0.593,-0.6836,depth
DHTKD1,-0.064,0.6821,-0.064,0.6835,PC2
TMEM52,-0.0721,0.6812,-0.0721,0.683,PC2
PNMA3,-0.6541,0.5164,-0.6541,0.6827,depth
EYA2,-0.3927,0.6276,-0.3927,0.6824,PC2
PDE4A,0.1616,0.6734,0.1616,0.6823,PC2
SLC26A1,0.0758,0.6801,0.0758,0.6821,PC2
PIGM,-0.7052,-0.4833,-0.7052,-0.6817,depth
AKR1B1,-0.1935,-0.6673,-0.1935,-0.6802,PC2
SULF1,-0.248,0.6589,-0.248,0.6801,PC2
NAGLU,-0.5749,0.5562,-0.5749,0.6798,depth
LHX4,0.4228,0.6147,0.4228,0.6784,PC2
HNRNPA0,0.4043,-0.6204,0.4043,-0.6783,PC2
LGMN,0.0209,0.678,0.0209,0.6781,PC2
LRP8,-0.0638,-0.6762,-0.0638,-0.6776,PC2
PIK3C2B,-0.3893,-0.6235,-0.3893,-0.6769,PC2
ZNF101,0.2285,-0.6585,0.2285,-0.6764,PC2
ARHGEF5,0.6013,-0.5398,0.6013,-0.6755,depth
AIF1,-0.1534,0.6673,-0.1534,0.6752,PC2
GABARAPL2,0.5721,-0.5528,0.5721,-0.674,depth
TRIB2,0.6296,-0.5236,0.6296,-0.674,depth
C2CD4B,-0.2746,-0.6478,-0.2746,-0.6737,PC2
RPRM,-0.5075,-0.5804,-0.5075,-0.6736,PC2
MANF,0.269,-0.6487,0.269,-0.6735,PC2
MGAT3,-0.312,0.6399,-0.312,0.6735,PC2
ADAMTSL5,-0.2135,0.658,-0.2135,0.6735,PC2
PHLDA2,0.0714,-0.6716,0.0714,-0.6734,PC2
LRRK1,-0.6659,-0.5023,-0.6659,-0.6733,depth
ZYX,0.4307,-0.6072,0.4307,-0.6728,PC2
DENND1A,0.346,0.6313,0.346,0.6728,PC2
FYN,-0.5551,0.5591,-0.5551,0.6721,PC2
CEP78,0.2396,-0.6524,0.2396,-0.672,PC2
FHL3,0.3792,-0.6218,0.3792,-0.672,PC2
PERP,0.5862,-0.5444,0.5862,-0.6719,depth
EHBP1L1,-0.4085,-0.6129,-0.4085,-0.6715,PC2
DNM1,0.5371,0.5663,0.5371,0.6714,PC2
TUB,0.2845,0.6434,0.2845,0.6711,PC2
SORCS2,-0.5797,-0.5467,-0.5797,-0.671,depth
PWWP2B,0.4774,-0.5896,0.4774,-0.671,PC2
LARP4,0.5533,0.5583,0.5533,0.6703,PC2
OGDHL,0.4383,0.602,0.4383,0.6698,PC2
HRASLS2,0.3979,0.6142,0.3979,0.6695,PC2
QSOX1,-0.1864,-0.6574,-0.1864,-0.6691,PC2
FN3K,-0.3218,0.6331,-0.3218,0.6687,PC2
HOMER1,0.0372,-0.6679,0.0372,-0.6684,PC2
PRR5,0.2387,0.6487,0.2387,0.668,PC2
TMA7,0.6253,-0.5209,0.6253,-0.6674,depth
SNCAIP,-0.2075,-0.6524,-0.2075,-0.667,PC2
ISYNA1,-0.2382,-0.6466,-0.2382,-0.6658,PC2
CCL28,0.5113,-0.5719,0.5113,-0.6655,PC2
OSBPL8,0.589,0.5376,0.589,0.6653,depth
LITAF,0.3556,-0.6215,0.3556,-0.665,PC2
BFSP1,-0.3164,-0.6306,-0.3164,-0.6648,PC2
PTGES,0.0981,-0.6613,0.0981,-0.6645,PC2
SYNE2,0.2484,-0.6434,0.2484,-0.6642,PC2
SAMD15,0.7022,0.4729,0.7022,0.6641,depth
SPEF2,0.6741,0.4898,0.6741,0.6631,depth
SLC22A5,-0.1524,0.6544,-0.1524,0.6621,PC2
ABCA3,-0.3619,-0.6164,-0.3619,-0.6613,PC2
PEG3,-0.4568,-0.5878,-0.4568,-0.6608,PC2
S100A10,-0.5334,-0.5588,-0.5334,-0.6606,PC2
RBPMS2,0.0253,0.6596,0.0253,0.6598,PC2
KIF1A,0.4466,0.59,0.4466,0.6594,PC2
ENOX1,-0.6394,0.507,-0.6394,0.6594,depth
ARC,-0.0482,-0.6584,-0.0482,-0.6592,PC2
EPN3,-0.376,-0.6108,-0.376,-0.6592,PC2
ARF5,0.5223,-0.5619,0.5223,-0.6589,PC2
MMP1,-0.7148,-0.4608,-0.7148,-0.6589,depth
FGB,-0.2151,0.6432,-0.2151,0.6586,PC2
SLC37A1,0.3697,-0.612,0.3697,-0.6586,PC2
ATP6AP1,-0.1418,-0.6519,-0.1418,-0.6586,PC2
BPI,0.1831,0.6472,0.1831,0.6583,PC2
