sample_id,depth_v2_metabolic,depth_pure_metab
TCGA-GJ-A9DB-01,0.24801168627813786,0.12342236614910662
TCGA-CC-A7IL-01,0.25220916833977547,0.11519381623438474
TCGA-DD-AACC-01,0.39329423092351445,0.13993535046950434
TCGA-FV-A3R3-01,0.29102070690846027,0.22731339727730193
TCGA-HP-A5N0-01,0.05317400472479711,0.07465520740506826
TCGA-K7-A5RF-01,0.20123993661636588,0.0020271363319762647
TCGA-ED-A7PZ-01,0.5016136153816424,0.3244741710713671
TCGA-YA-A8S7-01,0.4505537638949994,0.363236829643769
TCGA-DD-A39X-01,0.2694394352425693,0.16267327868457726
TCGA-DD-AACF-01,0.1970351490560744,0.11071599796504727
TCGA-DD-A1EC-01,0.5666466557921901,0.5343774909042813
TCGA-DD-AAE0-01,0.7334462788283638,0.46689255765672766
TCGA-G3-AAV0-01,0.14168355457644796,0.03382423445618232
TCGA-XR-A8TD-01,0.38887139890429573,0.15596949295117335
TCGA-CC-A5UE-01,0.4926442464584335,0.3150538108811294
TCGA-DD-AACJ-01,0.1870138507979728,0.17105065781923978
TCGA-G3-AAV5-01,0.256228373196967,0.23352010518065958
TCGA-DD-AAVS-01,0.4978540396828631,0.20415721777616824
TCGA-DD-A11B-01,0.19605810323184997,0.17696500160338746
TCGA-MI-A75C-01,0.27655818898042667,0.23597137537646573
TCGA-ED-A8O5-01,0.4702074795203065,0.2413533458634639
TCGA-BC-4072-01,0.5723095191560528,0.28467735531083804
TCGA-DD-AAW3-01,0.14802541760513532,0.11100895034210279
TCGA-G3-A5SK-01,0.006866439011046888,0.013732878022093775
TCGA-BC-A110-01,0.24248282761465562,0.10178859779956928
TCGA-DD-A3A7-01,0.3412903264427866,0.23169297649638754
TCGA-DD-AACN-01,0.4024331195750468,0.15860077002948403
TCGA-DD-AAD5-01,0.5940870407050141,0.6277287072742962
TCGA-CC-A3MC-01,0.3395662999401327,0.15511828393478178
TCGA-DD-A73A-01,0.2318048547286593,0.11862394738663284
TCGA-DD-AADI-01,0.4481255336878933,0.2695432472418551
TCGA-CC-A7IG-01,0.59610004686278,0.3537835270172145
TCGA-G3-AAV3-01,0.297968999041349,0.1741637180244756
TCGA-MI-A75H-01,0.1826870832645614,0.12204819596048844
TCGA-DD-A73E-01,0.24042264671791913,0.22262557097765745
TCGA-2Y-A9H7-01,0.34956229392319615,0.2927182509921511
TCGA-CC-A8HV-01,0.5449246107733456,0.30295981905193037
TCGA-DD-AADJ-01,0.27634196281945855,0.12296176030301287
TCGA-DD-AAD6-01,0.31421550696305556,0.17997158714929784
TCGA-BC-A10S-01,0.17905210393822513,0.0906834673088267
TCGA-LG-A9QD-01,0.08173355159710569,0.08114310253064316
TCGA-DD-A3A1-01,0.24271800785345804,0.16917235070767478
TCGA-DD-AACZ-01,0.4274087594710852,0.3074105774635735
TCGA-CC-A7IK-01,0.36766026822873,0.22746163823910925
TCGA-DD-AADO-01,0.46102463782526115,0.2030789412540016
TCGA-CC-A7II-01,0.8985211976104175,0.8421710241862712
TCGA-RC-A6M3-01,0.6058270921968241,0.4675261112928144
TCGA-DD-AAW1-01,0.09460808501936209,0.12276234091332439
TCGA-NI-A8LF-01,0.18981412026930913,0.042491624679745654
TCGA-FV-A23B-01,0.3516938223713576,0.2580439840349089
TCGA-DD-AADC-01,0.4850127128067112,0.29837670263877514
TCGA-G3-A3CJ-01,0.14222159390282552,0.1580413368747987
TCGA-ZP-A9D1-01,0.20112698902714687,0.1449984852363605
TCGA-DD-A73C-01,0.23988471900979147,0.2907158214876535
TCGA-CC-A9FU-01,0.5274757733168793,0.33300685026220234
TCGA-G3-A25X-01,0.61400205976854,0.4721821716714313
TCGA-DD-AACP-01,0.6010947110409172,0.24725710100673415
TCGA-UB-A7MB-01,0.30141519712735687,0.06335183404097477
TCGA-DD-AADG-01,0.1319239997895298,0.08464147158592872
TCGA-RC-A6M6-01,0.6117129160363537,0.35108812984037097
TCGA-DD-A4NH-01,0.5764109968734898,0.32526184824697035
TCGA-EP-A12J-01,0.16956263001386707,0.15604596646357827
TCGA-CC-5262-01,0.417234251197795,0.20543726671891527
TCGA-ZS-A9CD-01,0.11515409049409067,0.12836314329665366
TCGA-DD-AAE9-01,0.2062884087433767,0.16276210560960114
TCGA-BD-A2L6-01,0.21334659513714857,0.08615800015907926
TCGA-DD-AAEI-01,0.24506634149618936,0.11040539785368453
TCGA-2Y-A9H3-01,0.3722780284905561,0.17207304985211125
TCGA-2Y-A9GV-01,0.07301997841355232,0.07284749122774448
TCGA-DD-AADS-01,0.21412278637165863,0.1604237809094814
TCGA-DD-A114-01,0.559278978440483,0.34167777003274136
TCGA-DD-A39Z-01,0.2996893300212137,0.2862697691383308
TCGA-UB-A7MA-01,0.5792317283793673,0.3039463273595946
TCGA-EP-A2KB-01,0.33132234135096633,0.15963375070262675
TCGA-DD-AAEA-01,0.2676464229656642,0.11268842632229514
TCGA-UB-AA0V-01,0.21152330528836272,0.022304970484154363
