sample_id,s1_depth,stromal_score,immune_score
TCGA-5P-A9KE-01,0.6603335451570647,0.26420944193717766,0.46623897300363715
TCGA-2Z-A9JS-01,0.7474410350049894,0.30847448863244675,0.34482884639822853
TCGA-IA-A40U-01,0.7370065922202481,0.39902777851434273,0.5333432449290975
TCGA-SX-A7SP-01,0.5726236571424512,0.38081039228268526,0.5340932592566136
TCGA-UZ-A9PL-01,0.7691498299083401,0.054271649263111024,0.21570927019369962
TCGA-2Z-A9JO-01,0.277227371450242,0.4514870361629802,0.4745231844129913
TCGA-G7-A8LC-01,0.7677277849291531,0.27682061167885547,0.41181932877455285
TCGA-A4-8516-01,0.6360429913383816,0.20817578209935148,0.43066271199532863
TCGA-SX-A71W-01,0.7971562440169737,0.5477009010251216,0.43455813524676956
TCGA-BQ-5884-01,0.3211996969295451,0.3843324247068618,0.5910378686636041
TCGA-SX-A7SQ-01,0.7135945921246648,0.4015859420989274,0.35231819212493265
TCGA-2Z-A9JJ-01,0.9428407309005118,0.6137292310792679,0.46547816112766277
TCGA-5P-A9K6-01,0.569205640095885,0.5620939685940508,0.5679967308345591
TCGA-A4-7585-01,0.3246881939951391,0.644913768873003,0.7841179690309699
TCGA-A4-7915-01,0.8472085302789474,0.7266384444456233,0.5148387386137774
TCGA-A4-7828-01,0.9691340303881356,0.7434743295344265,0.5360633965599009
TCGA-IZ-8195-01,0.5185569628828671,0.42337441597768377,0.2635083560566356
TCGA-BQ-5882-01,0.3420854318715731,0.49691615004004,0.756014442136353
TCGA-F9-A97G-01,0.1814603497360673,0.5785685685951116,0.6168498235431406
TCGA-2Z-A9JG-01,0.5770269276071829,0.3153382423911374,0.5075736496627427
TCGA-2Z-A9JI-01,0.4670207302797091,0.35593011354295406,0.7738146160599413
TCGA-B9-5155-01,0.7520616662218491,0.2734364642055969,0.14219789912930234
TCGA-BQ-7056-01,0.3794702508313815,0.5079562268313507,0.3737961771694973
TCGA-SX-A71V-01,0.680893715445005,0.24952800920647214,0.4705754345805609
TCGA-BQ-7061-01,0.3135675426060209,0.5754509103058395,0.518663562509915
TCGA-2Z-A9J6-01,0.6724900015441736,0.2772674119525043,0.4862576278450503
TCGA-SX-A7SL-01,0.7157372878122812,0.04657992289049295,0.17396760901578678
TCGA-GL-7773-01,0.8636905659885465,0.3585273887241933,0.45381348647025643
TCGA-KV-A74V-01,0.4785238904496416,0.2895318805916323,0.4834868107945583
TCGA-A4-7286-01,0.4855095730846641,0.37696950090951037,0.5722434897012151
TCGA-SX-A7SU-01,0.7799135269728885,0.4515645964478716,0.47451570918713554
TCGA-SX-A71U-01,0.7717567462097975,0.34056455932500057,0.4933715511176708
TCGA-B3-A6W5-01,0.715205916133439,0.2735478328198004,0.4811628461341038
TCGA-G7-6793-01,0.911327155358685,0.8185951114481632,0.4386055547572753
TCGA-DZ-6132-01,0.7978285963668426,0.7004363263206465,0.7786959385436766
TCGA-BQ-5887-01,0.5011686254310012,1.0,0.6207535526010879
TCGA-G7-6797-01,0.6438216910666023,0.33032726462773726,0.3143498588428184
TCGA-DZ-6133-01,0.6568530867911706,0.3058122484262555,0.24873647918523362
TCGA-BQ-5888-01,0.8411167798439225,0.41374434539119564,0.7400614795797593
TCGA-B9-4116-01,0.7228898641477434,0.4037390686401892,0.46494243660800827
TCGA-Y8-A895-01,0.7066842680359899,0.13307223580447922,0.35414546955631204
TCGA-5P-A9JZ-01,0.7599328797820306,0.2961278193495012,0.3938704809145024
TCGA-2Z-A9JN-01,0.7105417517498314,0.40690909669447356,0.3802240408247
TCGA-DW-7834-01,0.7591185821100497,0.6057809591489318,0.6045730109462223
TCGA-4A-A93X-01,0.2605379665419736,0.07691660081776407,0.2690275644800522
TCGA-B1-7332-01,0.6479126169737153,0.3869230708039223,0.47014768554548797
TCGA-5P-A9K3-01,0.3391450566016747,0.2674742658952182,0.4663212004880491
TCGA-B9-4113-01,0.7739067353706934,0.38735992745130293,0.6089775801364976
TCGA-5P-A9K4-01,0.8171420517538213,0.3224658337001427,0.32031010559171813
TCGA-O9-A75Z-01,0.8641611723177189,0.43921129808074755,0.4866463395895436
TCGA-A4-7996-01,0.6137115444611543,0.3745280092064722,0.6389399465272175
TCGA-B9-A69E-01,0.3457241431584723,0.5098249656613443,0.701933674812725
TCGA-A4-A5Y0-01,0.5724029894026267,0.12490321537099006,0.17172005777518998
TCGA-B9-4617-01,0.6798330052626973,0.34342500914813623,0.41728288829437765
TCGA-A4-8098-01,0.5389197172350906,0.2950969967597038,0.5498203038762366
TCGA-UZ-A9PO-01,0.4533138844791665,0.2918454309700207,0.5617507643418439
TCGA-G7-6792-01,0.8057879012252624,0.34934345550293555,0.4467045466815395
TCGA-BQ-7058-01,0.3069683511956511,0.43804789380737497,0.4309882996103746
TCGA-J7-A8I2-01,0.873511689052341,0.5054060181477812,0.2698274136466062
TCGA-BQ-7051-01,0.4888790820110693,0.10821979921829844,0.24028864338770595
TCGA-UZ-A9PK-01,0.7256861487740623,0.332097230103467,0.42589268731877755
TCGA-A4-7584-01,0.7088602060641075,0.17885202823459542,0.2512190847499579
TCGA-BQ-5877-01,0.6929312746643681,0.7312065463532083,0.6038063850056935
TCGA-AL-3473-01,0.3919970355117995,0.35749656613439545,0.8472811357692047
TCGA-5P-A9JY-01,0.6214272446869884,0.04676222270540885,0.4078043019094218
TCGA-5P-A9JW-01,0.4730201469581979,0.25209677932574254,0.5296936735502422
TCGA-A4-A5DU-01,0.6989071375878806,0.24054626305266685,0.38044497527776683
TCGA-SX-A7SR-01,0.7202859905808058,0.2370295338958334,0.4576839923021783
