gene,r,p_value
GPM6B,-0.8634189065860981,0.012285433085092166
GPR87,0.8631518159882718,0.012343730469683728
PRSS22,0.8628353162526237,0.012413017304743416
CLDN16,-0.8627972320933989,0.012421369529141768
EEF1D,-0.8619826897009146,0.012600778404885847
C21orf33,-0.8612891352480574,0.012754702570441322
TTL,-0.8609811851654514,0.012823391149808573
SETD8,0.8606675379953024,0.012893567887464059
SCG2,-0.860528047280646,0.012924848654233496
PLAC9,-0.8602971028952417,0.01297673339212247
PLAT,0.8600921311170846,0.013022882823618182
CAPNS1,0.8599462767920375,0.013055779120008486
RPS17,-0.8597700206909142,0.013095595753202677
TMEM45A,0.8592571668613024,0.013211845776561464
MAX,0.858636848837578,0.013353241856493284
PIP4K2C,0.8584005507773335,0.013407330737738983
KRT6A,0.8579444013679841,0.013512098064991294
FAM219B,-0.8578596547095025,0.013531613915096335
GNB5,-0.8576429726347672,0.013581585787215794
RBP5,-0.8575584059781365,0.013601117412993628
TRAPPC6A,-0.8575305454005303,0.01360755564683059
GMFG,-0.8568799039160819,0.013758406954836147
SPTSSB,0.8566895628582406,0.013802717557372331
SAA1,0.856569512467884,0.013830706716342761
FKBP9,0.8564721401702328,0.01385343241873893
CPVL,-0.856397533095171,0.013870859395004315
STX10,-0.8558600000586913,0.01399678882027003
TMEM189,0.8558145969505133,0.014007455362495336
DCAF5,0.8554625565886593,0.014090317890486488
FLJ23867,0.8544208783441509,0.014337144526700313
WDR35,-0.8541037002889705,0.014412787168002768
ELF3,0.8539638046854818,0.014446222685339623
ANXA8,0.8530716211485845,0.014660499956751302
AHR,0.8530576936358935,0.014663859248186436
SNORD50A,-0.8529458528416696,0.014690850995410265
TRIM21,0.8529225321695346,0.014696482798733262
RARG,0.8524184680973642,0.01481851277711093
CLDN7,0.852303608236123,0.014846400116194787
MANSC1,0.8521396585082515,0.014886258096274519
LCN2,0.8521096794618181,0.014893552933227689
PTPRE,0.8520041494041641,0.014919247928115994
ASS1,0.8518240324132696,0.014963162171713708
AKR1E2,0.8516504566309482,0.01500555136386242
PHLDA2,0.8515311410116774,0.015034729323666323
KIAA1468,0.850935138414302,0.015180963233606725
MIS12,-0.8504190778805003,0.015308235903530793
ADCK3,-0.8486591388076232,0.01574684554739775
GAMT,-0.8486394789780098,0.015751785093198748
FAM13A,0.8482657306692506,0.015845857732167703
LURAP1L,0.8482384612892037,0.015852733955647378
PTCD3,-0.8481225887314544,0.015881971255727337
TSPAN2,0.8479406864941879,0.01592793133657615
SYT8,0.8478542342739864,0.015949801222086467
RCAN2,-0.8474039671087574,0.016063982376899013
MRPL33,-0.847333145961046,0.016081983854545314
SPINT1,0.8471066632281246,0.016139628906137068
HIGD2A,-0.8469647710836301,0.01617580362849809
VEGFA,0.8467886637647433,0.016220765561627066
FXYD3,0.8463324124811153,0.01633758199466291
HLA-DQA2,-0.8455036306200776,0.01655100226982118
QRSL1,-0.8453211220292421,0.016598212313461317
CDH3,0.8450889529939176,0.01665837889676342
MAGED1,0.8449574969978668,0.01669250069771589
CCR4,-0.8448158324327354,0.01672931684473739
SNORA38B,-0.8447079913248301,0.01675737383701305
MUC16,0.8446252310940772,0.016778923704608307
ADAMTS1,-0.8445567555977969,0.016796765906426977
ITGB6,0.8445465494126041,0.016799426188548888
ANXA6,-0.8443960563635003,0.016838680644067117
ZNF280C,-0.8439808485220303,0.016947253649411728
PLA2G16,0.8436638295016763,0.017030418762568895
PDGFA,0.8435647157253342,0.017056467318112577
BHMT,-0.8432439962813116,0.017140912447177224
C10orf12,0.8423882475611668,0.01736739268728191
SNORD45A,-0.8421716716947953,0.017424979453231782
SLC26A2,-0.8420136789989024,0.01746705758976923
HES6,-0.841824067139969,0.017517633084829627
AMN1,-0.8412744143319366,0.01766471317149376
COL17A1,0.8408069507141096,0.01779035110682376
FKBP11,-0.8407420980738067,0.017807821241112513
TRAFD1,0.8402379571234793,0.017943960336294043
GABARAP,-0.8401727897611522,0.017961601275281514
TMEM119,-0.8392847562968454,0.01820297635641771
GDPD3,0.8392416737197026,0.01821473316030481
KLHL15,-0.8392309400632108,0.01821766293893155
PLA2G2D,-0.839226996621666,0.018218739378512466
FAM83A,0.8389198511826783,0.01830269179653847
MT1A,-0.8388373404079399,0.01832528193879394
SHROOM3,0.8385252726676742,0.018410864344617972
CRABP2,0.8383470008885894,0.018459855832318267
PTGS2,0.8376507715303153,0.01865189781196081
INTS6,0.8368920340922246,0.0188624677180483
