,OLIG2,SOX10,MBP,MOG,PLP1,PDGFRA,SOX2,EGFR,NES,CDX2,SPI1,KLF4,IRF8,OLIG1,GFAP,MKI67
MGH100-P6-A01,0.801264522069427,0.0,0.0,1.1126118775937694,0.0,1.4407189660537258,1.1965232860137835,1.6539645382564943,0.9100295565618844,0.0,0.0,0.0,0.0,1.7611466619300136,0.0,0.0
MGH100-P6-A02,1.5399281791100816,0.0,0.0,0.45934554801799143,0.0,1.8512799643052777,1.5401720260480922,1.8692992468504412,1.6257593505628887,0.0,0.0,0.0,0.0,1.5683393544565734,0.857981838020382,1.7569843745391511
MGH100-P6-A06,0.0,0.0,0.0,0.2363650745048739,0.0,0.0,1.3099471649966374,1.1416458131882035,0.5340088726983379,0.0,0.0,0.0,0.0,0.5314086860981787,1.7352873696582136,1.5037170060670013
MGH100-P6-A07,0.8969318440423699,0.0,0.0,0.5314086860981787,0.0,1.8505654049126763,1.36357752762473,1.591735470329837,0.8541451970331805,0.0,0.0,0.0,0.0,1.9501905496935041,1.5196941955205665,0.8419005253496656
MGH100-P6-A09,0.5160306417760452,0.0,0.0,0.960160832250545,0.0,1.8221901975659183,1.0970455971593782,1.6974047350537862,1.2625182775069081,0.0,0.0,1.2281620691910415,0.0,0.8781886476275489,0.0,1.7177178280017993
MGH100-P6-A11,1.6614915491124056,0.0,0.0,1.229899749928574,0.7427227867102092,1.8358607119129258,1.6912139049850987,0.23065380048413514,1.0152335735046072,0.0,0.0,0.0,0.0,2.0262033283056473,1.272218696076391,0.0
MGH100-P6-A12,1.1259171380055826,0.0,0.0,0.29626649339745054,0.0,1.8291063877808154,0.5427406242170117,1.3136219292721973,1.4521923861760246,0.0,0.0,0.0,0.0,1.5475379826062028,1.6851408000914319,0.948032745468583
MGH100-P6-B06,0.6306979312398382,0.0,1.434688491820375,0.6188473303077651,0.0,1.9056662851979855,1.3631845730868222,1.4047914027585526,1.3205424329367808,0.0,0.0,0.0,0.0,0.0,0.0,1.123255441791534
MGH100-P6-B07,0.6866043038103989,0.0,0.8419005253496656,0.6149688648674542,0.0,1.8648445801039522,1.2317838633364195,1.815091342994574,1.5032909430653354,0.0,0.0,0.0,0.0,1.4131860604086925,1.8532172914268565,1.5983672833821507
MGH100-P6-B09,0.0,0.0,0.0,1.0519208606567132,0.7378961391517873,0.0,1.5104893121816878,1.6645844684328126,0.9302163566646762,0.0,0.0,0.9635771005000134,0.0,1.1621883886458282,0.0,1.726821701721521
MGH100-P6-B10,0.7568679381988861,0.0,0.0,0.5660438114888968,0.0,0.0,1.685369821433773,1.5972277959486707,1.4387737338701814,0.0,0.4194013703151252,0.0,0.0,1.0129107938735469,1.997851231729467,0.0
MGH100-P6-B12,0.0,0.0,0.0,0.3226119453889478,0.0,0.0,1.1763292396119556,1.7372063525314194,1.2139662351791354,0.0,0.0,0.0,0.0,0.0,0.8451220787799183,0.0
MGH100-P6-C01,0.0,0.0,0.0,0.8601230324625797,0.0,0.0,0.4550678040660309,1.2908166248801543,0.9834095800989032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH100-P6-C04,1.4566604528486546,0.0,0.0,0.0,0.0,1.947547846647692,1.6240771460564134,1.5199331305642818,1.4769938300615828,0.0,0.0,1.5479392084746946,0.0,1.915963293436867,1.818879562469433,0.0
MGH100-P6-C05,0.0,0.0,0.0,0.541211802449182,0.0,2.06243553626277,1.4590521952277806,1.81151792378928,1.3440941297165148,0.0,0.0,0.0,0.0,1.8504331835726264,0.0,1.2943697118196942
MGH100-P6-C09,0.0,0.0,0.0,0.5442643380946691,0.0,0.0,1.586206923746572,2.0691015468087572,1.0701140781843932,0.0,0.0,0.0,0.0,0.4550678040660309,0.0,0.0
MGH100-P6-C11,0.5587361057021722,0.0,0.0,0.34536866808111155,0.0,0.0,1.4167827577483512,1.3590735423259404,1.4427945527862587,0.0,0.0,0.0,0.0,1.4089191281956723,2.3410443042810285,0.0
MGH100-P6-D02,0.0,0.0,0.0,0.7114932235054249,0.0,1.8295384259285945,1.0422253070990293,1.885980540660244,1.4021727700489635,0.0,0.0,0.0,0.0,0.9548824800872376,1.246736791806106,0.0
MGH100-P6-D04,0.0,0.0,0.0,0.8756928495654357,0.0,0.0,0.0,1.8729275354532653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGH100-P6-D05,0.4956384984360183,0.0,0.0,0.4012210039424773,0.0,1.7826999848116913,1.4528903176743053,1.696911816176804,1.2511661543796042,0.0,0.0,0.0,0.0,1.549162247791195,2.057347732567278,0.0
MGH100-P6-D07,1.549818176057447,0.0,0.0,0.3087841194152189,0.0,1.918660899295405,1.495138931825349,1.685852496121446,1.5481277836820344,0.0,0.0,0.0,0.0,2.019380552615856,1.9973524164344105,0.0
MGH100-P6-D08,1.2972553586732252,0.0,0.8908612207950646,0.5127840062838924,0.0,2.009452845159484,0.9919320212823473,1.7285328972744762,1.4877379103936077,0.0,0.0,0.0,0.0,2.000257626931599,0.0,0.0
MGH100-P6-D09,0.7290618118684113,0.0,0.0,0.5660438114888968,0.0,0.17207570270850156,1.782770821897242,1.7297376485908673,0.0,0.0,0.0,0.0,0.0,1.2065651654210248,2.0046340042650965,0.506772154590162
MGH100-P6-D10,1.2958162123523858,0.0,0.0,0.6166968711003241,0.0,1.9271058821064049,0.3161511675837845,1.9902642139028703,1.4379618987452967,0.0,0.0,0.0,0.0,1.76198800645272,1.6337248139302798,1.0201368936744333
MGH100-P6-D12,0.5149509572587071,0.0,0.0,0.6474867611250247,1.8433498131396806,0.0,1.2998027626063544,1.6322164503293515,1.6467608126800133,0.0,0.0,0.0,0.0,0.8768293622585794,1.5742474604633383,0.0
MGH100-P6-E04,1.5963120520424428,0.0,0.0,1.1820121056948345,1.801453394977106,0.0,0.7891997488937227,1.9571860664350773,1.5229654071285448,0.0,0.0,0.0,0.0,1.9165595815255765,0.9690813564578425,0.0
MGH100-P6-E05,0.0,0.0,0.0,0.6422337758810112,0.0,0.0,1.6172351138791574,1.046475165466844,1.4802320712594221,0.0,0.0,1.3915173509092063,0.0,0.0,2.380030982416273,0.0
MGH100-P6-E07,0.0,1.2083479391308987,0.0,0.564591712297455,0.0,1.6937342250676763,1.5552063324306065,1.1514749515461353,0.6365042768974721,0.0,0.0,0.0,0.0,0.0,1.635431491084752,0.0
MGH100-P6-E08,0.9204642592448714,0.0,0.0,0.6542606445129566,0.0,0.5674912429074475,1.3764200298030236,1.6152409337508318,1.3405912126815736,0.0,0.0,0.0,0.0,1.5013786880149183,0.0,0.0
MGH100-P6-E09,0.0,0.0,0.9746747386268705,0.5760792626169983,1.2557458357948517,1.1619914773244755,1.161202583055252,1.610571161522714,0.0,0.0,0.0,0.0,0.0,1.2394314302845828,2.506709442339496,0.0
MGH100-P6-F01,0.0,0.0,0.0,0.0,0.0,0.0,1.5785449440682155,1.6954139279986287,0.0,0.0,0.0,0.0,0.0,1.5283797027754495,1.823085456579824,0.2903195705378717
MGH100-P6-F05,0.0,0.0,0.0,0.0,0.0,1.5080485133408001,1.3456716533354736,1.7832581135351588,1.1812727745718987,0.0,0.0,0.0,0.0,1.2219989356637162,1.0319489478804724,1.4008962280966526
MGH100-P6-F07,1.2643445695432078,0.0,0.0,0.42400626333699154,1.775630479622568,0.8346149873297456,1.620296353448688,1.6095641126805587,1.1719733249016295,0.0,0.0,0.0,0.0,1.5743527254670975,2.423867493109829,0.0
MGH100-P6-F09,1.5517286163244082,0.0,0.0,0.5918644074076258,2.1979490310365875,0.0,0.8042923768139483,0.0,1.1659061860719084,0.0,0.0,0.0,0.0,1.63822038450428,1.3628402673918933,0.0
MGH100-P6-F11,0.9820536914567835,0.0,0.0,1.1185434411121404,0.35824805351662287,0.0,1.3189294744786184,0.9722385293508545,1.3171327309017367,0.0,0.0,0.0,0.0,1.0858625812789315,2.0550513784984825,0.0
MGH100-P6-F12,1.1996755289185301,0.0,0.0,0.0,1.847729569725988,1.9235350614686149,1.2976919102331212,1.859472267739298,1.4654977218018002,0.0,0.0,0.0,0.0,2.111383247117823,0.7207087266010018,0.0
