gene,r,p,abs_r,novel
RAD51L3,0.052831214139428456,0.22290591916778776,0.052831214139428456,True
SGK223,0.052831145405242357,0.22290652199017721,0.052831145405242357,True
TXNDC16,0.052822981468291445,0.22297813079360274,0.052822981468291445,True
TARBP2,0.05279692615187865,0.22320678106556774,0.05279692615187865,True
SNORA45,0.052788355805251694,0.2232820272974626,0.052788355805251694,True
RASSF7,0.05278278592578706,0.2233309396231956,0.05278278592578706,True
POTEB,-0.05277673823460947,0.22338405654420113,0.05277673823460947,True
LOC646627,-0.05276852432691451,0.22345621379371497,0.05276852432691451,True
GABRB2,-0.05275947539570558,0.2235357257738443,0.05275947539570558,True
B3GALNT1,-0.052737275193002545,0.2237308820336044,0.052737275193002545,True
LY6G6D,0.05273648679787205,0.2237378148453632,0.05273648679787205,True
LOC440354,0.05271915542354988,0.22389025828933873,0.05271915542354988,True
LOC643677,0.052711004657942706,0.22396197645932728,0.052711004657942706,True
GRIP2,-0.052675422007123905,0.22427525821812272,0.052675422007123905,True
COPG2,0.052667084858630385,0.22434870645447644,0.052667084858630385,True
OR10H3,0.052663874139393864,0.22437699667657562,0.052663874139393864,True
FLJ45445,0.05264710295919879,0.2245248118755202,0.05264710295919879,True
ALK,0.05264472684820561,0.22454575968109095,0.05264472684820561,True
PREPL,-0.05263200019307057,0.22465798163896092,0.05263200019307057,True
TMEM150B,0.05261505129745029,0.22480749679587345,0.05261505129745029,True
ALKBH6,-0.0526132159674233,0.22482369146404838,0.0526132159674233,True
KRTAP19-1,0.0525914785444023,0.22501556234175565,0.0525914785444023,True
NUCKS1,0.052590427679931204,0.22502484101835393,0.052590427679931204,True
C10orf84,0.05256099145079344,0.2252848608772497,0.05256099145079344,True
RNPEPL1,-0.052546697560508254,0.22541120064273704,0.052546697560508254,True
SCGB1D1,0.05252667427799892,0.2255882657552702,0.05252667427799892,True
PGAM4,-0.05249257551120472,0.22589002769466626,0.05249257551120472,True
CLLU1,0.05247202227688657,0.22607205521829501,0.05247202227688657,True
GFRA4,-0.05246294733219552,0.2261524597076713,0.05246294733219552,True
DIRAS2,-0.05244766541688217,0.22628790426728485,0.05244766541688217,True
GDPD2,0.05243383783142034,0.22641050874218838,0.05243383783142034,True
GABRG2,0.05241325123024154,0.2265931306438735,0.05241325123024154,True
